ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
276.036,0.741312,0.391176,181.206,15.9556,0.323678,0.930526, 9.19806, 21.4678,0.416412,1.02157,19.7787,3.57168,0.784042,3.92298,0.62946,5.22347,0.502367,2.055,0.05,2.055,0.05,-384.385
293.254,0.669939,0.306783,154.955,9.94017,0.303502,0.981141, 7.36468, 25.7236,0.441971,0.995851,15.3083,3.79306,0.699756,3.9497,0.665873,5.00961,0.428578,2.055,0.05,2.055,0.05,-367.921
372.016,0.613237,0.534301,197.604,26.8659,0.280333,1.04881, 8.72489, 27.0643,0.367826,0.984552,14.3018,3.29194,0.590723,3.98341,0.617678,5.10292,0.447825,2.055,0.05,2.055,0.05,-390.019
304.258,0.733582,0.589479,197.446,54.5437,0.290717,0.878342, 8.58329, 22.6346,0.36035,1.00197,15.3268,3.52851,0.768747,4.134,0.643486,5.35162,0.543854,2.055,0.05,2.055,0.05,-390.5
260.099,0.729181,0.644203,188.786,147.836,0.300244,0.960826, 12.4098, 21.4579,0.330549,0.985938,14.4609,3.27404,0.601105,4.10041,0.662946,5.31227,0.528955,2.055,0.05,2.055,0.05,-387.087
246.371,0.762426,0.260037,153.618,13.4548,0.242357,1.03142, 10.0032, 24.7358,0.422145,1.00701,19.564,3.12511,0.670848,3.75112,0.589426,5.05958,0.470311,2.055,0.05,2.055,0.05,-397.121
327.28,0.821983,0.271724,172.491,10.7248,0.291956,1.04506, 9.39179, 28.0889,0.401239,0.987121,12.082,4.12686,0.848688,3.83372,0.598546,5.34318,0.553212,2.055,0.05,2.055,0.05,-410.251
261.139,0.709385,0.503197,173.037,40.7631,0.217096,0.904801, 6.50568, 21.5543,0.436841,0.981905,13.6236,4.19641,0.80027,4.05859,0.631318,5.52582,0.575917,2.055,0.05,2.055,0.05,-388.691
274.732,0.868693,0.362883,157.608,17.4474,0.34944,0.920223, 13.5369, 25.1521,0.456143,1.00903,20.5024,4.12213,1.00134,3.92856,0.641785,5.39603,0.574113,2.055,0.05,2.055,0.05,-367.373
233.872,0.859654,0.450685,158.051,57.5669,0.251511,0.868268, 11.3393, 21.9442,0.397866,1.00471,22.5917,3.98458,0.842021,3.76814,0.618446,5.18239,0.516357,2.055,0.05,2.055,0.05,-388.894
301.491,0.631489,0.385305,166.255,28.7771,0.308261,1.17096, 12.0831, 27.0926,0.406843,1.00682,13.9775,3.53616,0.670204,3.80209,0.606039,5.17141,0.517866,2.055,0.05,2.055,0.05,-384.987
323.976,0.787589,0.432741,210.896,43.4273,0.281189,1.00009, 7.65514, 21.5805,0.346183,0.994142,11.0519,3.2229,0.499747,4.16271,0.672623,5.45207,0.574103,2.055,0.05,2.055,0.05,-376.463
324.809,0.717252,0.372091,212.53,17.7228,0.279398,1.04657, 9.03592, 22.8711,0.379423,0.996902,12.9267,4.10524,0.835866,4.18157,0.664132,5.37434,0.518182,2.055,0.05,2.055,0.05,-402.061
344.769,0.670709,0.366193,179.076,18.3401,0.312403,1.09541, 9.57187, 28.798,0.416056,1.00532,13.0651,4.07991,0.998872,4.06709,0.646901,5.14432,0.496065,2.055,0.05,2.055,0.05,-369.217
266.274,0.78656,0.400019,187.639,15.1438,0.242521,0.926213, 7.9955, 19.8516,0.40093,1.00272,18.6482,4.34773,1.03486,4.28172,0.699736,5.32717,0.492451,2.055,0.05,2.055,0.05,-405.997
275.099,0.761074,0.541275,160.079,41.2949,0.385659,1.06534, 11.8705, 25.3747,0.433552,0.999633,16.1925,3.81989,0.820547,3.81713,0.62329,5.20721,0.528416,2.055,0.05,2.055,0.05,-384.088
248.105,0.777324,0.319534,151.341,16.1274,0.228049,1.04739, 11.5297, 23.4152,0.438511,1.00187,25.5347,3.47117,0.658651,3.92362,0.607637,5.07298,0.450444,2.055,0.05,2.055,0.05,-386.968
277.893,0.86067,0.399479,173.424,30.4584,0.206777,0.880935, 10.8093, 23.0512,0.369156,1.00062,22.3949,3.4249,0.777317,3.68759,0.575943,4.93717,0.438519,2.055,0.05,2.055,0.05,-396.714
349.189,0.658337,0.258147,188.686,17.4325,0.250997,0.69254, 11.1484, 26.2423,0.398233,0.997471,21.0754,3.81074,0.706699,4.05893,0.628144,5.48407,0.570734,2.055,0.05,2.055,0.05,-385.571
315.221,0.734629,0.242836,172.248,8.18473,0.261185,1.18949, 9.73416, 25.9201,0.444891,1.00598,17.6847,3.8959,0.751586,3.98992,0.607201,5.23688,0.493839,2.055,0.05,2.055,0.05,-399.566
257.364,0.745071,0.399115,161.885,31.3722,0.331279,0.898766, 9.21276, 22.79,0.421065,1.01355,11.4375,4.00729,0.805883,3.88303,0.621355,5.11125,0.47988,2.055,0.05,2.055,0.05,-369.816
361.023,0.722517,0.406056,188.023,28.0003,0.346077,0.808929, 11.4975, 28.2935,0.382365,0.98782,17.5421,3.9412,0.695152,3.9076,0.665759,5.26457,0.559228,2.055,0.05,2.055,0.05,-372.044
279.527,0.859803,0.655558,187.338,94.6406,0.335611,0.811222, 7.93972, 22.5444,0.395652,0.987145,21.9498,3.43495,0.530348,3.98083,0.660404,5.38718,0.520112,2.055,0.05,2.055,0.05,-398.421
356.939,0.902211,0.646108,192.376,167.87,0.276373,0.798879, 9.72264, 26.6976,0.385782,0.992843,15.9634,3.55735,0.703612,4.14099,0.685625,5.33676,0.52466,2.055,0.05,2.055,0.05,-387.996
330.967,0.795032,0.562386,195.282,93.5503,0.294793,1.11108, 10.8394, 24.3247,0.35042,0.992364,17.6835,3.23316,0.644725,4.30675,0.70351,5.2915,0.521271,2.055,0.05,2.055,0.05,-385.71
252.514,0.813116,0.607574,173.649,136.075,0.227198,0.9496, 9.58203, 20.5958,0.405718,0.989097,15.8157,3.48398,0.75334,3.98974,0.665636,5.14656,0.489391,2.055,0.05,2.055,0.05,-405.648
