ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
316.824,0.806221,0.4379,225.612,209.22,0.316332,1.204, 17.1717, 48.2466,0.505182,0.987325,17.0418,4.8531,1.02705,3.28603,0.401162,5.61761,0.518342,2.055,0.05,2.055,0.05,-773.485
337.916,0.618164,0.372201,217.545,103.024,0.325001,1.30424, 34.532, 54.3669,0.549501,1.02002,25.3786,5.83028,1.27906,3.28734,0.396332,5.75466,0.529113,2.055,0.05,2.055,0.05,-773.364
341.64,0.625283,0.355385,243.887,204.995,0.289607,0.978217, 11.8965, 48.8604,0.467691,1.01189,26.4224,6.07719,1.40442,3.59764,0.537263,5.75911,0.537409,2.055,0.05,2.055,0.05,-765.033
332.644,0.747405,0.357176,212.133,119.911,0.210214,0.90747, 22.7954, 53.5846,0.53023,1.01805,19.901,4.86226,1.08974,3.30606,0.392888,5.64593,0.522186,2.055,0.05,2.055,0.05,-792.165
330.149,0.795891,0.490671,227.09,351.139,0.367633,1.16795, 40.6575, 53.2494,0.485267,0.989153,40.1703,6.15827,1.40751,3.21265,0.35686,5.68647,0.530739,2.055,0.05,2.055,0.05,-754.713
360.695,0.652865,0.359196,220.462,140.709,0.292679,1.10101, 19.9861, 57.8921,0.497652,0.992316,15.116,5.38563,1.12091,3.37974,0.434622,5.59137,0.513629,2.055,0.05,2.055,0.05,-772.726
362.127,0.724052,0.293968,195.499,60.4788,0.281997,1.34324, 58.9096, 69.8182,0.548273,1.00483,36.9145,4.75019,1.03278,3.28802,0.400849,5.54844,0.499285,2.055,0.05,2.055,0.05,-749.19
371.401,0.634593,0.763775,196.323,695.561,0.324793,1.07532, 44.9996, 68.1081,0.569567,0.996454,25.214,5.36642,1.2569,3.32669,0.440043,5.72758,0.539759,2.055,0.05,2.055,0.05,-770.336
336.567,0.781625,0.744406,178.555,1040.1,0.37059,1.02722, 82.4519, 67.3257,0.589938,0.994488,35.245,4.63448,0.990464,3.16645,0.38433,5.62671,0.524098,2.055,0.05,2.055,0.05,-773.786
337.218,0.689841,0.904404,190.292,1773.26,0.259796,1.01105, 74.7956, 64.7406,0.586424,1.01205,57.2331,4.7195,0.978398,3.34867,0.436226,5.70866,0.533301,2.055,0.05,2.055,0.05,-775.075
261.779,0.65218,0.799423,187.48,1135.74,0.224975,1.06722, 48.4023, 48.4119,0.56369,0.992008,35.2188,4.94135,1.10277,3.23992,0.387825,5.66955,0.524786,2.055,0.05,2.055,0.05,-763.293
330.267,0.738779,0.804865,206.995,1786,0.313019,1.22786, 59.1238, 56.9087,0.54538,1.00661,40.0807,4.68622,1.02698,3.29731,0.417043,5.67301,0.529654,2.055,0.05,2.055,0.05,-766.217
390.979,0.765903,0.756796,221.847,1341.14,0.325571,1.15453, 22.0085, 60.2396,0.512045,1.00235,16.0399,4.96724,1.04962,3.28014,0.419527,5.67143,0.526293,2.055,0.05,2.055,0.05,-773.178
313.696,0.825391,0.340943,202.285,98.8967,0.257007,1.07907, 35.1199, 56.87,0.569441,0.992138,22.0596,5.00927,1.09833,3.36015,0.451234,5.65439,0.53262,2.055,0.05,2.055,0.05,-757.631
308.314,0.656828,0.373758,200.324,195.418,0.361233,1.11569, 35.2339, 55.2883,0.536107,1.00793,28.0733,4.92066,1.01877,3.26306,0.412967,5.53459,0.510249,2.055,0.05,2.055,0.05,-785.745
340.135,0.62091,0.278233,224.328,87.9911,0.3281,1.13153, 29.6019, 53.7345,0.477767,1.00289,23.2345,4.86007,1.00577,3.40795,0.463771,5.6302,0.529829,2.055,0.05,2.055,0.05,-764.749
291.401,0.680156,0.264778,198.511,78.7605,0.321198,1.21606, 20.4502, 53.1149,0.543202,0.989352,17.1706,4.59273,0.958777,3.32684,0.433387,5.55491,0.51325,2.055,0.05,2.055,0.05,-763.073
311.536,0.709678,0.370355,227.51,62.8981,0.275367,1.01255, 28.6278, 52.6509,0.464252,0.995873,51.8781,5.09055,1.13202,3.13287,0.366632,5.59477,0.523402,2.055,0.05,2.055,0.05,-774.584
408.906,0.497108,0.576675,212.342,307.607,0.300868,1.22859, 28.334, 67.743,0.520227,1.02511,22.0585,4.90331,1.13617,3.29147,0.41737,5.70309,0.543419,2.055,0.05,2.055,0.05,-788.224
329.095,0.800501,0.391953,182.867,104.375,0.231206,1.27151, 40.593, 65.0742,0.565181,0.999264,37.7002,4.58652,0.948092,3.26953,0.411985,5.65725,0.523113,2.055,0.05,2.055,0.05,-758.349
291.766,0.809889,0.425648,200.014,231.073,0.279992,1.21445, 19.3914, 53.0209,0.557036,1.01082,29.8207,4.77742,1.04772,3.2753,0.434616,5.64759,0.517446,2.055,0.05,2.055,0.05,-759.066
338.61,0.643646,0.321777,220.504,129.447,0.334979,1.0368, 27.5405, 54.4205,0.489973,0.984747,20.9982,4.86024,0.92658,3.20938,0.364464,5.57123,0.516211,2.055,0.05,2.055,0.05,-760.372
307.13,0.702156,0.312099,219.622,103.137,0.28892,1.24466, 32.8889, 51.0443,0.504023,0.998125,33.0768,5.3178,1.12845,3.1674,0.336057,5.65583,0.526256,2.055,0.05,2.055,0.05,-763.282
424.734,0.619589,0.381846,183.447,133.037,0.256033,1.01449, 34.712, 86.7198,0.562912,1.00084,26.3196,5.55606,1.21527,3.08605,0.3479,5.6197,0.533164,2.055,0.05,2.055,0.05,-763.075
438.064,0.475345,0.342865,213.994,63.3849,0.265406,1.11418, 28.5191, 72.4321,0.519738,0.986849,37.0033,5.35109,1.2227,3.2618,0.395308,5.67248,0.522368,2.055,0.05,2.055,0.05,-744.103
391.303,0.774522,0.35254,202.301,119.209,0.285055,0.89729, 24.9587, 68.4256,0.554162,1.01839,25.0036,6.05032,1.38225,3.41645,0.465282,5.64674,0.523542,2.055,0.05,2.055,0.05,-756.64
329.501,0.866694,0.335763,214.735,214.009,0.191341,1.12249, 42.1281, 55.9007,0.516221,1.00024,32.7022,5.305,1.25399,3.24176,0.392418,5.76459,0.548388,2.055,0.05,2.055,0.05,-756.151
300.502,0.724549,0.356443,189.382,215.052,0.285176,1.14284, 21.2466, 56.4444,0.586742,1.00064,21.8875,5.02855,1.18148,3.55066,0.541067,5.74794,0.552531,2.055,0.05,2.055,0.05,-768.996
