N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
410.403,440.667,777.241,110.076,85.6678,13.3475,1.31558,0.55114,46.1535
303.525,594.821,707.245,119.607,92.607,17.5688,1.14244,2.41012,2.39102
411.992,365.09,548.383,136.886,104.111,7.60605,0.434108,10.6697,3.79417
290.427,522.044,637.55,98.6326,39.1688,17.2827,6.93338,1.33815,2.0334
325.793,781.089,528.238,125.391,74.2768,3.49081,7.90446,1.63404,11.258
332.514,666.043,471.061,146.847,53.5665,2.68221,42.4252,11.8195,6.42692
472.873,526.444,486.548,177.799,54.1714,11.1602,4.34907,1.82767,16.2556
401.407,407.425,673.025,49.435,92.0803,39.5139,3.10567,0.462834,9.16916
435.344,623.212,557.65,94.5811,67.4452,1.63428,5.02321,50.7991,1.11253
391.892,829.729,554.196,186.628,66.0941,0.979468,48.9415,2.64704,4.2242
356.052,555.807,896.986,100.471,49.9331,9.89049,13.7738,8.68376,5.58112
218.09,585.478,759.495,151.92,31.2172,10.0028,8.56362,4.3345,12.5464
687.973,429.896,841.273,127.048,35.182,0.824363,23.5869,9.14869,5.734
502.76,429.676,730.819,141.55,40.779,2.0611,3.81118,7.27439,5.90824
362.186,427.883,520.917,87.6364,165.768,10.0567,3.9466,4.17756,35.4228
320.62,728.914,732.286,51.8539,87.5133,1.51245,19.7481,14.6202,9.4098
345.809,662.675,630.703,61.3782,92.3992,14.2547,6.76229,4.11923,15.9789
421.094,551.98,711.581,136.613,42.2809,2.26836,1.84574,1.7721,9.56803
343.208,447.861,576.67,142.416,19.036,5.24342,9.05291,0.157305,19.9549
430.057,508.152,503.768,148.608,72.609,0.099242,6.65542,0.0521503,26.0092
389.464,427.063,728.977,133.01,89.5894,0.830208,57.248,0.0874066,1.48939
240.742,572.605,508.522,196.977,37.1709,6.95069,8.12281,2.77331,9.83532
665.705,707.994,690.746,169.132,75.4155,13.7588,8.60959,4.42475,2.47448
602.141,790.792,579.031,205.925,114.944,1.24519,6.6797,29.8798,2.77985
823.423,883.328,709.745,146.78,32.8948,3.46058,0.290076,51.2715,2.71678
362.418,706.774,613.483,273.926,111.214,38.5189,1.06504,2.12482,9.16122
722.539,682.66,791.28,157.003,111.551,26.4774,16.134,0.666141,5.7443
686.397,509.119,796.411,109.825,87.8093,3.15204,0.759531,21.1264,0.53855
451.074,297.854,472.437,181.107,95.4133,29.9735,2.25347,1.92036,1.68517
449.477,625.597,451.761,169.256,80.8325,21.2973,23.1736,24.2399,5.56629
627.557,1024.35,548.382,193.157,25.3878,9.64835,0.877192,30.5613,6.1446
387.253,575.997,576.147,178.065,52.0132,22.0644,5.45358,2.81884,43.5382
499.296,386.741,654.989,192.713,28.0601,3.60094,10.7273,0.561009,1.29227
431.128,374.138,792.164,86.1526,15.1346,6.41729,0.377221,3.63073,41.1504
340.525,398.051,573.779,104.694,62.7196,2.91065,0.700915,3.89103,23.9162
276.631,692.214,595.252,93.7571,39.5383,11.2446,1.01163,0.606494,4.13223
389.017,509.019,778.786,55.1643,52.9088,0.964689,8.26787,1.93219,11.9141
437.128,614.919,598.34,61.5399,66.6779,25.6569,2.0096,21.7509,0.213063
473.777,587.857,509.127,62.556,36.4259,45.3788,3.09683,6.26435,24.4822
316.181,533.448,572.022,99.8154,60.7733,11.9954,2.10177,15.817,4.18159
393.743,769.921,544.959,177.371,54.2001,1.60771,9.88402,0.262784,2.6412
247.53,503.061,586.81,99.9096,35.2405,4.50206,1.78295,0.400431,38.8329
278.697,587.54,339.441,220.013,74.9704,12.1963,27.3485,2.59914,20.8146
511.922,533.333,542.143,86.9617,42.2002,10.8064,2.76085,27.4885,11.8833
361.956,524.6,731.599,86.673,26.7814,8.8731,1.34215,0.74556,14.6179
346.77,538.254,643.031,134.1,40.8623,6.22951,0.0819313,1.11053,41.7297
304.229,503.495,552.883,97.5127,66.0382,15.0785,24.364,8.37393,4.35268
325.271,529.097,490.773,252.244,57.5454,2.57298,5.93739,3.34917,0.432776
257.732,433.053,624.476,135.627,31.4653,7.78492,10.8003,19.4028,0.0830598
420.488,612.82,641.767,131.733,36.571,19.0909,2.09494,3.51363,1.33224
434.415,482.921,556.424,131.468,61.395,27.4644,4.72667,3.36109,6.53836
322.29,472.536,712.751,107.655,32.1916,6.08327,7.62423,1.2194,16.8075
413.07,510.55,704.728,96.2169,89.7296,9.50584,5.88525,3.77392,1.03227
295.816,538.477,537.508,153.501,65.2087,11.2614,47.8598,2.64945,4.98841
474.618,561.341,444.475,240.994,60.6179,0.459776,2.49842,2.91899,18.4463
314.121,498.914,510.669,135.453,38.7499,0.250516,2.08999,2.72243,12.7953
522.037,802.265,671.371,95.8418,48.1172,17.7462,1.42506,2.24624,28.1024
283.817,917.606,677.174,55.8796,34.4642,5.05732,0.449492,5.30827,12.4887
207.671,498.375,587.147,51.2787,87.4226,21.0166,6.7591,2.75948,1.08296
289.546,603.821,911.521,125.504,45.9265,0.933984,13.3741,17.7384,9.22419
298.041,523.723,696.017,59.0968,90.208,3.80286,19.1409,5.85133,11.1058
302.244,499.956,678.842,79.6233,30.4909,11.5876,11.212,1.18354,15.095
213.179,488.28,692.736,20.2395,57.9912,5.47382,0.395333,16.7761,6.60593
502.136,693.999,804.948,72.4691,104.214,0.237224,6.62019,1.19626,22.0972
286.242,547.764,403.239,123.085,104.511,2.46334,2.56401,8.20529,18.6994
410.662,524.643,456.833,101.026,58.177,22.8585,4.89306,1.71409,7.39156
309.315,572.681,412.727,76.538,30.6763,32.2152,3.36843,1.78954,1.03575
215.141,517.363,344.633,156.71,106.028,23.483,2.73152,0.991334,11.3494
218.419,413.416,497.888,85.4417,97.3109,8.66552,10.3867,0.298514,11.0969
183.508,318.538,658.802,64.3345,19.7149,3.67416,0.446008,0.218605,7.6826
227.263,397.892,584.279,127.649,31.276,1.19775,7.62054,17.1353,10.7989
197.466,466.138,492.208,71.9376,51.7564,17.4924,1.817,7.63768,16.9065
299.797,371.275,494.324,148.676,83.0163,11.4693,1.74707,5.67488,10.7032
324.35,421.24,460.446,104.898,30.7618,2.41311,1.92137,0.546253,10.3881
269.37,457.723,611.207,91.8754,33.9179,5.79102,9.30176,3.05008,6.77533
312.066,497.246,485.731,135.771,51.711,0.745309,2.55098,0.708245,28.5262
379.27,468.002,553.915,130.354,68.1406,12.4189,0.542154,1.20194,15.0863
299.832,485.171,520.851,94.6392,31.0279,10.5821,1.52212,6.4481,10.3568
222.301,473.834,388.438,154.117,26.8391,6.73413,5.35827,0.659884,16.9968
307.784,402.601,617.959,151.785,43.6696,22.504,18.9655,2.85185,4.60637
184.639,344.722,611.218,78.3906,39.794,7.46261,8.04483,21.9498,24.0529
402.938,744.679,642.408,117.646,54.6813,21.0141,7.64587,1.39918,2.27205
286.132,476.694,720.743,84.4144,77.9487,5.45578,2.28973,4.22772,6.20227
267.757,424.071,565.201,77.904,33.29,8.31162,0.146605,13.4131,4.98981
296.065,361.457,579.548,57.0017,14.2978,0.174624,7.72793,8.21817,8.30768
365.363,484.733,702.632,70.0608,41.7788,18.6769,0.636662,7.71187,15.167
571.691,606.382,623.409,60.0104,71.6525,30.2145,0.481836,1.84335,10.4051
365.938,508.568,571.227,177.259,72.5963,15.7773,13.1991,5.25068,2.82461
345.245,676,694.027,104.184,63.4684,31.6542,5.79362,0.608109,3.58506
373.992,707.578,603.123,238.522,108.381,22.6031,12.0554,1.54059,2.13839
278.077,386.763,514.068,166.029,23.0049,19.3858,0.697752,5.59661,1.61668
367.603,421.94,687.298,154.056,54.9695,5.2358,0.145083,0.78479,12.5495
522.135,766.599,602.508,63.1571,63.7941,36.5279,19.1254,10.9655,2.78697
289.053,658.006,655.712,89.1722,52.6524,10.2434,0.747962,10.4578,4.02944
431.489,620.783,550.418,238.078,39.601,14.4799,13.545,2.34317,3.54168
300.084,483.826,509.135,80.3202,36.3329,0.300247,2.45611,16.9044,7.09304
272.54,390.142,550.702,167.193,21.8189,3.99694,0.0656899,0.0502642,16.1918
372.648,521.901,685.971,53.3168,34.3915,13.7662,1.33321,2.30944,0.201051
218.054,504.448,702.291,112.975,55.0401,1.15861,7.53525,6.98521,0.55546
310.948,796.071,382.725,148.827,85.2881,31.7114,4.9486,4.5433,0.0873899
475.869,593.49,573.289,136.91,59.5763,4.38838,0.0317933,1.17031,3.5951
334.555,390.646,606.872,236.803,70.7232,8.25197,0.832298,31.7112,0.136619
320.942,421.175,792.538,92.456,94.8156,0.897337,9.21924,0.638577,3.42335
458.208,566.148,599.801,174.792,126.248,2.58705,7.24138,23.1045,4.76839
517.301,437.383,665.06,147.326,42.158,21.1034,11.3998,6.51725,4.95807
321.606,399.016,509.427,218.011,63.3294,5.5427,12.5944,2.87454,15.4295
505.731,934.66,654.479,158.485,36.7551,8.45838,3.70363,0.0426494,4.33248
405.586,499.158,484.045,75.8445,146.984,19.4062,0.537924,0.19211,6.82743
331.091,596.437,692.351,131.656,88.4477,0.780964,0.788802,9.61986,24.8692
324.541,572.457,714.881,41.2057,37.8901,0.219287,0.485967,8.34092,1.76429
389.115,761.419,800.012,48.9072,35.2393,9.55512,1.00339,0.271764,2.3588
311.236,625.581,532.231,90.0806,26.0903,2.96483,2.91738,0.214678,15.556
389.278,758.781,624.707,294.117,30.5803,6.72425,2.26111,3.79157,21.3641
611.482,1040.55,535.73,148.285,76.6185,18.5701,0.745014,0.488737,28.5809
542.194,713.987,540.067,229.393,134.811,22.7744,5.9835,1.90437,4.39219
346.817,545.675,488.551,132.977,91.0905,6.71273,3.63031,7.55441,6.69084
403.771,501.509,828.797,67.7155,49.3496,1.01969,20.8049,0.123693,11.0258
251.737,522.7,532.963,111.622,57.1655,10.943,10.4363,0.0517777,1.50848
420.897,578.889,716.517,83.1149,35.7964,5.30234,30.8288,4.60158,3.04399
518.16,748.411,902.241,53.7662,58.3887,3.94733,5.16567,33.0995,1.50375
550.342,739.774,528.756,115.361,41.0139,7.54829,2.00206,2.95079,65.1872
388.449,532.489,470.44,138.301,21.7214,2.84044,20.8282,31.6933,46.6344
562.457,692.532,623.482,175.128,70.7944,1.32193,6.37612,3.71529,35.3217
214.846,694.359,486.106,182.629,51.8524,2.52753,25.9845,10.5601,3.37837
221.568,510.43,582.403,85.6075,110.464,41.8606,0.793385,4.00761,3.08855
300.878,599.576,599.825,84.2315,93.9182,7.70363,9.71846,0.155962,19.15
184.245,433.945,616.447,59.5466,61.0838,6.2501,2.4351,3.84333,26.0354
261.936,1094.12,496.176,141.381,33.0536,10.7295,18.7441,1.47277,6.26838
261.677,634.371,542.425,147.392,33.1351,10.8023,18.2464,0.317225,5.03815
418.801,671.396,454.787,134.242,42.3321,5.21221,10.2112,1.13864,2.79798
371.197,560.073,587.607,135.267,78.1844,10.4461,14.6437,7.30664,26.5714
534.821,435.184,709.652,143.943,26.9608,1.49575,12.9485,8.73701,1.44329
376.974,606.366,491.879,236.202,54.4186,13.0216,1.55288,15.166,2.05216
343.9,448.155,600.37,108.286,51.4975,42.8932,10.5208,12.9391,3.24433
218.175,580.302,495.584,124.298,83.8898,8.39745,11.7233,1.79621,10.1964
567.686,626.026,671.788,91.2009,98.613,9.14261,33.5676,0.510737,4.96497
467.108,741.488,664.999,184.821,21.7539,4.17477,4.0808,0.848981,9.83494
326.026,639.847,859.542,165.965,71.4538,7.22233,0.641473,20.2536,1.59557
454.008,1059.15,839.934,150.923,63.009,12.9172,7.41113,0.676422,7.61388
594.819,1040.87,694.53,195.467,34.4477,3.53009,0.839433,9.21138,12.1955
312.657,495.539,709.19,101.528,32.5054,3.29759,0.197597,6.77635,6.41005
328.767,515.934,699.052,132.949,98.8379,0.145381,4.82286,12.0097,1.4168
445.676,454.997,462.358,126.7,74.7405,0.579753,0.181737,10.0009,4.81187
451.893,489.836,624.396,112.835,37.2535,7.06334,0.865613,20.3645,0.488237
310.466,391.589,526.944,259.084,48.7212,8.26882,0.603586,1.46932,18.433
600.394,812.4,421.231,233.775,31.2758,84.2064,0.205431,0.675354,8.91642
407.079,858.294,682.634,145.734,112.587,19.8023,0.179777,2.69378,0.319679
475.851,432.385,706.581,105.044,35.412,5.86117,1.66444,6.14846,0.928269
365.418,706.05,488.567,106.318,53.649,9.89133,25.8211,0.71218,9.48409
684.361,459.221,488.118,120.593,59.1254,16.3466,3.31689,0.267215,12.0539
504.29,590.903,662.024,167.516,43.2882,10.7702,0.788499,0.372435,14.1584
244.123,450.183,925.298,91.766,18.8688,1.50733,0.123881,20.8587,4.35006
416.795,487.994,695.043,89.6737,30.3554,8.69333,0.155094,14.942,19.604
336.125,643.303,621.917,159.982,66.3412,35.008,0.0762491,4.92469,8.28329
318.43,449.184,615.046,104.345,102.343,42.7197,21.757,1.22402,14.3212
442.471,435.913,512.068,153.161,87.1604,6.29809,0.485499,11.9998,4.17376
279.934,501.056,522.692,100.641,47.5254,17.7264,6.21383,2.4522,2.96487
711.165,543.115,638.959,149.567,78.6426,36.3889,1.79872,5.98952,4.21637
411.319,852.481,576.204,197.061,118.777,7.91003,22.4304,11.0551,0.535087
180.525,643.915,454.268,184.223,64.532,5.8484,33.6879,13.3979,3.1085
277.404,653.507,457.43,60.9531,91.5731,37.3886,1.93649,3.11344,10.5886
357.247,421.541,606.192,74.1907,46.8023,0.12238,18.0955,39.3002,18.7717
437.023,495.872,321.921,123.126,74.5918,4.05205,40.9563,20.9314,2.85289
290.399,722.047,482.634,81.5343,61.457,28.6635,15.725,0.929823,0.960548
292.909,514.573,623.855,147.833,31.1206,47.5425,8.30393,0.569911,0.149195
312.442,641.849,615.386,274.066,63.0245,20.8213,4.88327,15.6272,0.266184
170.015,376.886,501.826,163.079,34.3864,0.22586,3.12967,21.7979,5.10155
524.006,579.011,539.004,280.257,39.8148,16.0701,3.97532,2.22555,0.879261
370.52,582.227,542.104,165.582,24.4875,8.26245,47.149,4.1526,0.179003
489.119,630.294,640.383,40.1657,106.923,0.403609,2.41124,4.60149,9.38793
472.776,551.828,818.088,131.652,80.9672,15.0964,13.6408,0.0824678,17.02
919.231,994.234,575.314,142.925,36.2992,0.989869,39.6339,2.21925,2.21559
499.833,1052.13,704.547,114.688,60.3749,5.2527,41.4775,4.18938,2.97837
490.149,694.091,874.145,163.977,75.842,3.00088,6.689,0.0734344,3.8924
345.261,761.76,730.311,135.821,58.16,31.4764,1.73332,0.222473,0.734718
300.327,506.011,767.366,173.95,36.1812,2.55413,0.536631,7.69518,18.0645
264.676,617.36,664.807,65.9764,29.3565,4.24717,41.1711,6.72932,31.984
332.345,733.816,583.883,116.982,24.0394,0.104853,0.205338,11.049,12.6444
372.485,521.952,674.962,129.918,28.8526,0.0655024,0.614348,0.821405,22.2936
379.195,467.865,738.719,50.9741,107.671,0.0712421,0.851373,34.3356,3.86279
386.3,707.608,396.125,101.767,212.714,0.096125,4.48356,27.0602,0.568434
386.642,452.704,468.162,120.471,71.4037,1.84077,2.48403,2.18915,38.3863
307.675,520.642,613.548,91.1871,53.4552,2.38519,2.57318,1.95794,3.18349
342.071,467.602,558.956,200.05,35.5258,27.6655,3.2923,0.383179,10.3449
