N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
1076.21,579.596,226.501,5.23503,14.8033,8.52138,0.251995,2.2731,63.4667
966.38,615.497,313.353,7.8749,0.790809,75.2207,7.87226,6.79248,0.965988
1025.68,608.823,303.048,54.1262,6.51236,1.66934,18.7788,7.62466,1.12749
843.892,617.331,255.211,19.0564,0.598538,3.30935,9.64222,10.0761,100.085
1060.82,641.671,299.229,50.9441,0.447599,85.8331,9.82056,1.95135,11.6463
993.172,820.069,316.799,7.40396,4.02256,44.9495,15.7153,20.9171,9.32566
1668.02,1237.25,381.562,69.2182,1.55927,55.5818,1.07704,0.766247,1.70002
944.064,771.138,209.905,24.5482,36.2064,12.3819,23.8111,1.74365,18.5018
1059.94,858.894,320.518,78.1546,9.03891,7.63616,4.0086,15.0052,17.4259
1107.96,846.68,335.416,56.6391,25.7657,18.9314,10.1671,2.75755,34.5158
1799.9,1330.57,353.558,21.0298,5.56005,78.7875,3.89381,46.7005,0.472018
1209.81,715.67,512.083,25.0259,3.52098,1.81565,36.5876,9.03104,13.4607
740.614,659.229,306.126,25.9093,64.3063,10.4511,15.5372,9.30391,1.19988
928.251,618.867,392.052,2.00372,6.76609,18.7385,17.4433,4.72279,47.3291
947.939,607.162,533.527,13.7619,3.12179,7.96931,0.181363,48.8765,4.37597
1107.34,617.606,359.572,11.1414,1.81338,43.2245,3.25261,68.6769,4.43373
1918.28,643.821,381.301,6.78839,122.992,34.1657,0.615059,4.01864,0.466549
1723.89,918.181,503.532,136.606,52.0662,0.458997,1.24928,3.59899,4.89765
1023.89,629.798,321.062,39.9259,12.1605,1.71771,1.69779,2.41474,58.687
1626.21,958.663,457.62,43.0245,25.0078,57.6931,1.93794,0.559849,0.692597
2441.45,1197.49,766.117,17.6507,212.87,1.97167,48.5945,0.102457,0.418645
2440.26,1522.74,374.799,34.5529,16.4097,4.15839,156.159,3.43468,0.0104971
2882.49,1292.23,358.45,41.032,14.5644,78.3422,36.1959,32.8236,1.09368
2766.45,1202.43,418.603,86.5045,55.8002,1.28235,46.1157,11.7627,3.3199
2054.82,986.109,531.215,97.7137,40.211,2.46703,3.07088,29.4589,13.3628
1136.76,727.762,250.391,60.4823,4.73036,14.5899,68.0224,4.99725,2.68942
1271.84,967.788,300.077,105.531,0.252085,12.3403,5.30143,4.96889,18.5034
1794.4,870.813,448.505,37.7316,9.96453,0.366093,80.5887,0.250805,12.6041
