ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
1554.45,0.818333,0.601782,1055.25,406.697,0.346003,1.5097, 106.913, 129.552,1.11388,1.00303,111.047,2.67637,0.293084,2.90303,0.342331,4.70685,0.404655,2.055,0.05,2.055,0.05,-1393.53
1655.05,0.801552,0.559033,1055.95,234.352,0.342385,1.44023, 103.003, 142.474,0.985433,0.998681,100.22,2.61455,0.286663,2.90365,0.342192,4.69128,0.412901,2.055,0.05,2.055,0.05,-1390.39
1551.66,0.760773,0.355264,950.759,98.2739,0.213612,1.53709, 166.051, 153.809,1.13569,0.988077,134.858,2.65163,0.297215,2.88951,0.334352,4.64988,0.409438,2.055,0.05,2.055,0.05,-1392.73
1861.01,0.632432,0.491116,1051.9,191.955,0.303592,1.56727, 132.208, 155.389,1.08238,0.991948,120.516,2.63283,0.2905,2.89514,0.336912,4.66907,0.409784,2.055,0.05,2.055,0.05,-1390.24
1644.22,0.718414,0.399826,1059.17,70.6643,0.371695,1.58983, 104.038, 139.144,1.05202,1.00084,91.4996,2.68349,0.308613,2.90375,0.341809,4.64303,0.401582,2.055,0.05,2.055,0.05,-1374.32
1699.5,0.774278,0.759891,1132.83,494.965,0.315159,1.61873, 79.2348, 131.536,0.961032,0.991604,65.8535,2.68145,0.320947,2.88544,0.332817,4.59272,0.383493,2.055,0.05,2.055,0.05,-1359.98
2070.29,0.763832,0.351043,1237.12,160.576,0.237125,1.05926, 140.224, 153.889,0.875561,0.989728,101.954,2.75711,0.325945,2.88307,0.333863,4.67293,0.407079,2.055,0.05,2.055,0.05,-1383.25
1586.7,0.787731,0.290704,1071.68,82.6299,0.23984,1.39741, 97.5489, 142.647,1.0172,0.981848,93.4355,2.68053,0.316988,2.91166,0.346758,4.66285,0.410376,2.055,0.05,2.055,0.05,-1369.65
1369.92,0.769654,0.368506,1017.58,66.26,0.339178,1.6408, 61.8883, 125.459,1.11686,1.00014,66.5775,2.73818,0.331779,2.90263,0.329505,4.72472,0.407528,2.055,0.05,2.055,0.05,-1378.58
1622.42,0.668194,0.896165,1046.28,1214.52,0.287065,1.35391, 92.3274, 142.271,1.09074,0.996022,67.673,2.62135,0.287626,2.93129,0.341893,4.70627,0.417806,2.055,0.05,2.055,0.05,-1380.25
2567.06,0.544296,0.736644,1065.75,900.487,0.343341,1.50957, 128.68, 212.185,1.03962,1.00236,103.822,2.603,0.270869,2.93957,0.352764,4.68482,0.409661,2.055,0.05,2.055,0.05,-1358.5
