TAC,B2021,B2022,B0,04B0,03B0,02B0,B1951,B2022B2021,B202204B0,B202202B0,B2022B1951,F2020,F2021,F2021F2020,U2021,U2021U2020,PropAge3,PropAge4to10,UT,U20
0,59.8899,67.0832,131.536,52.6142,39.4607,26.3071,48.3151,1.12011,1.275,2.55,1.38845,0.0212111,0,0,0,0,0.138545,0.672779,0,0
0,113.969,126.412,153.889,61.5555,46.1666,30.7777,45.5246,1.10918,2.05363,4.10725,2.77678,0.0159358,0,0,0,0,0.276634,0.613694,0,0
0,96.2529,104.529,142.647,57.059,42.7942,28.5295,37.7285,1.08598,1.83194,3.66389,2.77055,0.0195869,0,0,0,0,0.25849,0.566445,0,0
0,68.9513,60.0134,125.459,50.1838,37.6378,25.0919,42.7834,0.870374,1.19587,2.39175,1.40273,0.025104,0,0,0,0,0.355311,0.561283,0,0
0,63.7639,64.7271,142.271,56.9084,42.6813,28.4542,51.8356,1.01511,1.13739,2.27478,1.2487,0.0210588,0,0,0,0,0.194639,0.663999,0,0
0,99.4068,84.818,212.185,84.874,63.6555,42.437,55.7351,0.853241,0.99934,1.99868,1.52181,0.0133635,0,0,0,0,0.247567,0.657295,0,0
0,149.075,129.718,174.182,69.6728,52.2546,34.8364,49.1728,0.870148,1.86181,3.72362,2.63799,0.0105034,0,0,0,0,0.164996,0.79567,0,0
0,126.5,121.774,153.421,61.3684,46.0263,30.6842,64.3043,0.962641,1.98431,3.96862,1.89371,0.0128298,0,0,0,0,0.119718,0.777081,0,0
0,139.841,121.688,179.307,71.7229,53.7922,35.8615,48.8892,0.870189,1.69664,3.39328,2.48906,0.0134576,0,0,0,0,0.222656,0.723241,0,0
0,63.8452,58.523,125.811,50.3244,37.7433,25.1622,59.3957,0.916639,1.16292,2.32583,0.985308,0.0224934,0,0,0,0,0.207759,0.678692,0,0
0,116.289,117.642,179.952,71.9808,53.9856,35.9904,35.863,1.01163,1.63436,3.26871,3.28032,0.0162325,0,0,0,0,0.188809,0.763354,0,0
0,117.929,131.625,146.599,58.6395,43.9796,29.3197,48.2582,1.11614,2.24465,4.4893,2.72752,0.0142046,0,0,0,0,0.129673,0.739012,0,0
0,35.2621,26.0002,110.415,44.1662,33.1246,22.0831,38.6405,0.737341,0.58869,1.17738,0.672875,0.0241352,0,0,0,0,0.362801,0.527229,0,0
0,63.5367,71.6153,146.528,58.6112,43.9584,29.3056,38.8001,1.12715,1.22187,2.44374,1.84575,0.0179536,0,0,0,0,0.158185,0.821839,0,0
0,105.237,148.577,150.397,60.159,45.1192,30.0795,43.6042,1.41183,2.46974,4.93948,3.4074,0.0173825,0,0,0,0,0.0337424,0.714864,0,0
0,133.486,125.777,148.252,59.3007,44.4755,29.6504,42.2384,0.942249,2.12101,4.24201,2.97779,0.0178275,0,0,0,0,0.459483,0.449485,0,0
0,139.175,132.527,144.074,57.6296,43.2222,28.8148,47.6021,0.952237,2.29964,4.59928,2.78407,0.0137974,0,0,0,0,0.2953,0.655243,0,0
0,133.41,144.774,149.649,59.8597,44.8948,29.9298,34.4941,1.08518,2.41855,4.83711,4.19706,0.0154488,0,0,0,0,0.158714,0.741254,0,0
0,203.162,204.339,133.284,53.3138,39.9853,26.6569,41.1691,1.00579,3.83276,7.66551,4.9634,0.0111213,0,0,0,0,0.194114,0.73644,0,0
0,134.559,134.969,131.4,52.5599,39.4199,26.28,67.9307,1.00304,2.56791,5.13582,1.98686,0.0169068,0,0,0,0,0.252426,0.627605,0,0
0,141.723,114.62,117.647,47.0588,35.2941,23.5294,69.9112,0.808761,2.43567,4.87133,1.6395,0.0137457,0,0,0,0,0.296023,0.678205,0,0
0,80.4767,68.7207,128.39,51.3562,38.5171,25.6781,47.4668,0.853921,1.33812,2.67624,1.44776,0.0148613,0,0,0,0,0.082457,0.861101,0,0
0,76.9858,88.0264,140.324,56.1296,42.0972,28.0648,42.4648,1.14341,1.56827,3.13654,2.07292,0.019235,0,0,0,0,0.123968,0.764017,0,0
0,46.2249,69.8699,175.403,70.1612,52.6209,35.0806,50.8371,1.51152,0.995849,1.9917,1.37439,0.0332005,0,0,0,0,0.290173,0.408342,0,0
0,129.362,161.506,163.521,65.4084,49.0563,32.7042,49.0039,1.24849,2.46919,4.93839,3.29578,0.020049,0,0,0,0,0.386371,0.392691,0,0
0,71.4524,79.3111,111.585,44.634,33.4755,22.317,55.5986,1.10998,1.77692,3.55384,1.42649,0.0248272,0,0,0,0,0.542627,0.383592,0,0
0,81.1665,109.867,122.998,49.1992,36.8994,24.5996,44.5638,1.3536,2.23311,4.46622,2.46539,0.0239172,0,0,0,0,0.124553,0.5335,0,0
0,123.238,94.7192,121.622,48.6486,36.4865,24.3243,44.4885,0.76859,1.94701,3.89401,2.12907,0.0162031,0,0,0,0,0.427457,0.528882,0,0
0,127.314,109.17,120.523,48.2093,36.157,24.1046,47.3205,0.857487,2.26451,4.52902,2.30704,0.0116144,0,0,0,0,0.11804,0.841645,0,0
0,82.2311,75.9995,147.26,58.9041,44.1781,29.4521,38.914,0.924218,1.29022,2.58045,1.95301,0.0169868,0,0,0,0,0.12723,0.774373,0,0
0,77.6381,74.9871,143.194,57.2776,42.9582,28.6388,48.2562,0.965855,1.30919,2.61837,1.55394,0.0205904,0,0,0,0,0.255862,0.639152,0,0
0,73.6182,58.8845,126.357,50.5427,37.907,25.2713,49.327,0.799863,1.16504,2.33009,1.19376,0.0163667,0,0,0,0,0.17548,0.74917,0,0
0,104.496,84.7596,111.644,44.6575,33.4931,22.3287,38.3792,0.811131,1.89799,3.79599,2.20847,0.0126134,0,0,0,0,0.164711,0.799773,0,0
0,91.7227,81.7357,133.396,53.3584,40.0188,26.6792,48.3787,0.891117,1.53182,3.06365,1.6895,0.0178926,0,0,0,0,0.0825518,0.837392,0,0
0,71.5898,67.4812,169.034,67.6135,50.7101,33.8067,50.6839,0.94261,0.998044,1.99609,1.33141,0.0158963,0,0,0,0,0.226396,0.709526,0,0
0,59.5127,67.9215,149.982,59.9928,44.9946,29.9964,40.0825,1.14129,1.13216,2.26432,1.69454,0.0209534,0,0,0,0,0.143955,0.648576,0,0
0,152.255,154.263,199.51,79.804,59.853,39.902,42.6474,1.01319,1.93303,3.86605,3.61717,0.0138136,0,0,0,0,0.288155,0.637553,0,0
0,98.8728,102.699,165.809,66.3238,49.7428,33.1619,64.7999,1.03869,1.54844,3.09689,1.58486,0.0144462,0,0,0,0,0.209976,0.608251,0,0
0,153.398,128.371,136.01,54.4042,40.8031,27.2021,73.452,0.83685,2.35959,4.71918,1.74769,0.0125544,0,0,0,0,0.307939,0.645939,0,0
0,100.87,72.8363,117.418,46.9671,35.2253,23.4835,71.6635,0.722078,1.55079,3.10159,1.01637,0.0137951,0,0,0,0,0.125786,0.852258,0,0
0,84.6392,83.1095,115.811,46.3244,34.7433,23.1622,41.1766,0.981927,1.79408,3.58816,2.01837,0.0179384,0,0,0,0,0.0897668,0.835466,0,0
0,90.3733,106.635,127.272,50.9088,38.1816,25.4544,44.7403,1.17994,2.09462,4.18924,2.38341,0.0185091,0,0,0,0,0.187838,0.662755,0,0
0,235.556,229.521,173.698,69.4791,52.1093,34.7395,40.193,0.97438,3.30345,6.6069,5.71046,0.00925328,0,0,0,0,0.200375,0.731786,0,0
0,217.582,197.795,124.611,49.8443,37.3832,24.9222,46.173,0.909063,3.96826,7.93653,4.28379,0.0108521,0,0,0,0,0.19957,0.769114,0,0
0,213.79,198.263,155.114,62.0458,46.5343,31.0229,50.8124,0.927374,3.19543,6.39087,3.90186,0.0098936,0,0,0,0,0.130519,0.828353,0,0
0,204.021,178.206,165.572,66.229,49.6717,33.1145,57.0526,0.873467,2.69075,5.3815,3.12353,0.00943241,0,0,0,0,0.112694,0.858395,0,0
0,203.022,194.058,159.754,63.9014,47.9261,31.9507,63.4108,0.955848,3.03683,6.07367,3.06033,0.00957903,0,0,0,0,0.100513,0.85488,0,0
0,180.955,180.07,200.728,80.2912,60.2184,40.1456,41.1578,0.995106,2.24271,4.48542,4.37511,0.0114365,0,0,0,0,0.1683,0.761926,0,0
0,114.537,93.3578,205.754,82.3016,61.7262,41.1508,45.1972,0.815089,1.13434,2.26868,2.06557,0.0146768,0,0,0,0,0.228699,0.73533,0,0
0,74.0123,58.3467,187.978,75.1914,56.3935,37.5957,56.933,0.788338,0.775976,1.55195,1.02483,0.0189084,0,0,0,0,0.120602,0.828529,0,0
0,60.4977,60.5137,110.471,44.1882,33.1412,22.0941,69.5095,1.00026,1.36945,2.73891,0.870582,0.0187688,0,0,0,0,0.0942702,0.858613,0,0
0,80.7534,90.0593,110.453,44.181,33.1358,22.0905,46.497,1.11524,2.03842,4.07683,1.93688,0.0166672,0,0,0,0,0.0644744,0.717054,0,0
0,117.579,97.6739,119.929,47.9716,35.9787,23.9858,39.922,0.830706,2.03608,4.07215,2.44662,0.0152145,0,0,0,0,0.366971,0.592208,0,0
0,121.138,132.127,110.09,44.036,33.027,22.018,47.3746,1.09071,3.00043,6.00087,2.78898,0.0153155,0,0,0,0,0.120645,0.757729,0,0
0,111.642,113.774,115.387,46.1549,34.6162,23.0775,52.3393,1.0191,2.46504,4.93009,2.17378,0.0179477,0,0,0,0,0.320811,0.586214,0,0
0,100.191,115.839,118.058,47.2232,35.4174,23.6116,46.9076,1.15618,2.45301,4.90603,2.46952,0.0208913,0,0,0,0,0.287663,0.579577,0,0
