N_ag1_age2_t1951,N_ag1_age2_t1952,N_ag1_age2_t1953,N_ag1_age2_t1954,N_ag1_age2_t1955,N_ag1_age2_t1956,N_ag1_age2_t1957,N_ag1_age2_t1958,N_ag1_age2_t1959,N_ag1_age2_t1960,N_ag1_age2_t1961,N_ag1_age2_t1962,N_ag1_age2_t1963,N_ag1_age2_t1964,N_ag1_age2_t1965,N_ag1_age2_t1966,N_ag1_age2_t1967,N_ag1_age2_t1968,N_ag1_age2_t1969,N_ag1_age2_t1970,N_ag1_age2_t1971,N_ag1_age2_t1972,N_ag1_age2_t1973,N_ag1_age2_t1974,N_ag1_age2_t1975,N_ag1_age2_t1976,N_ag1_age2_t1977,N_ag1_age2_t1978,N_ag1_age2_t1979,N_ag1_age2_t1980,N_ag1_age2_t1981,N_ag1_age2_t1982,N_ag1_age2_t1983,N_ag1_age2_t1984,N_ag1_age2_t1985,N_ag1_age2_t1986,N_ag1_age2_t1987,N_ag1_age2_t1988,N_ag1_age2_t1989,N_ag1_age2_t1990,N_ag1_age2_t1991,N_ag1_age2_t1992,N_ag1_age2_t1993,N_ag1_age2_t1994,N_ag1_age2_t1995,N_ag1_age2_t1996,N_ag1_age2_t1997,N_ag1_age2_t1998,N_ag1_age2_t1999,N_ag1_age2_t2000,N_ag1_age2_t2001,N_ag1_age2_t2002,N_ag1_age2_t2003,N_ag1_age2_t2004,N_ag1_age2_t2005,N_ag1_age2_t2006,N_ag1_age2_t2007,N_ag1_age2_t2008,N_ag1_age2_t2009,N_ag1_age2_t2010,N_ag1_age2_t2011,N_ag1_age2_t2012,N_ag1_age2_t2013,N_ag1_age2_t2014,N_ag1_age2_t2015,N_ag1_age2_t2016,N_ag1_age2_t2017,N_ag1_age2_t2018,N_ag1_age2_t2019,N_ag1_age2_t2020,N_ag1_age2_t2021
896.704,1715.06,1534.21,1595.42,738.875,538.185,908.077,1313.66,1580.08,768.55,2178.23,1996.72,3003.83,1340.86,1982.17,1266.9,1077.16,705.556,1136.24,1188.35,718.139,682.599,769.393,1076.5,764.659,1040.18,985.329,479.393,799.217,604.148,570.488,446.035,410.943,678.393,1672.09,857.125,2097.7,866.816,2113.42,1052.18,2520.35,1537.3,1982.65,919.707,1684.9,2339.03,2512.28,1176.5,1903.42,2233.18,2549.64,2651.15,1627.72,1599.82,1373.56,2346.19,540.325,1938.81,380.042,2558.19,1572.94,875.527,1572.02,1636.11,1404.17,1532.79,1511.82,1651.88,5450.7,734.987,1246.39
1259,1744.34,1574.51,1763.48,899.111,472.169,813.742,1414.21,1080.19,693.864,1343.57,1509.5,2133.19,1287.66,990.339,495.829,778.128,278.218,858.506,746.203,605.891,497.705,582.216,810.593,545.848,945.581,744.101,373.105,719.27,545.54,629.112,485.031,434.575,916.922,1996.51,1047.56,2737.82,898.312,2226.99,1068.39,2070.46,1587.39,1718.23,808.56,1577.68,2184.54,2332.49,1047.46,1597.96,1863.13,2303.78,2176.34,1413.62,1295.09,1165.79,2236.7,619.118,2080.4,435.541,2723.03,1811.29,943.951,1684.65,1839.62,1611.51,1498.99,1847.83,1319.79,4833.37,1542.66,1141.59
802.902,975.812,1537.72,1041.87,691.227,413.989,544.151,948.294,1009.11,496.566,1260.95,1438.28,2032.92,1015.04,825.322,642.761,690.666,195.219,772.797,790.594,554.177,513.679,552.858,735.436,377.461,855.3,635.501,342.36,553.937,542.021,587.876,394.498,417.496,875.967,1666.45,999.703,2565.75,837.556,1984.81,1014.83,2025.4,1805.15,2166.32,936.708,1896.69,2544.13,2932.92,1419.8,1891.57,1858.27,2527.15,2050.14,1328.88,1465.6,1141.81,2256.55,549.681,2071.03,411.206,2463.06,1522.43,850.65,1475.32,1456.01,1422.71,1321.66,1463.94,1814.08,5863.1,2717.42,1069.12
978.201,1025.93,1806.4,1747.17,870.286,426.621,788.496,1075.45,1063.91,971.261,1363.12,1437.65,2111.57,1184.35,814.691,813.468,988.191,184.806,835.119,807.567,761.368,663.304,762.419,1042.23,652.328,1246.6,1006.32,537.663,809.55,680.682,590.25,488.501,464.001,804.039,1689.6,784.897,2435.29,715.04,2092.57,908.519,2447.1,1798.91,2177.05,1073.74,1934.62,2792.65,3011.24,1258.98,1958.91,1829.11,2640.25,2053,1236.83,1313.25,1104.99,1780.13,460.118,1845.02,324.664,2284.67,1684.74,788.401,1857.04,1801.52,1824.4,1518.64,1930.81,1796.67,4782.52,1503.23,1164.21
932.382,897.228,1199.57,1034.64,678.308,424.293,503.416,1111.72,1028.48,636.123,1598.03,1111.14,2189.06,1161.45,653.433,782.925,1460.4,161.077,736.083,885.748,688.192,594.346,709.694,1023.75,536.158,1092.54,1062.12,461.839,966.001,594.605,646.055,514.772,470.899,819.658,1691.8,829.604,2081.03,652.191,1524.35,851.93,1983.22,1287.72,1756.09,675.066,1504.7,2532,2581.2,1328.91,1666.92,1731.95,2161.31,1958.83,1140.59,967.042,896.779,1912.41,498.499,2173.85,447.812,3044.84,2102.04,1090.2,2255.36,2252.6,1684.32,1445.63,1659.02,1245.9,4394.73,1814.73,1087.64
966.806,966.5,1601.9,1048.17,748.978,372.677,604.241,951.463,1028.78,618.2,1226.38,1223.34,1874.4,993.987,692.402,558.207,1032.12,150.787,747.447,817.538,625.251,596.056,603.949,980.244,522.318,966.531,766.188,370.451,725.244,514.676,607.969,432.988,344.594,725.831,1296.36,736.499,1876.76,617.923,1609.09,861.853,2089.66,1361.09,1911.1,858.706,1617.38,2476.4,2597.69,1104.53,1640.21,1671.15,1764.66,1757.65,956.843,1082.33,892.306,1609.4,466.58,2020.32,422.432,2924.56,2077,1295.17,1874.45,1811.4,1418.56,1394.32,1317.48,1164.34,3750.61,451.538,997.163
1087.57,1463.13,2148.89,1505.08,1048.67,651.175,691.089,1254.84,1241.12,727.512,1330.94,1312.04,2586.08,944.685,759.243,927.3,1484.34,244.164,1360.91,1600.08,877.893,778.003,1018.44,1147.77,843.75,1121.19,858.015,432.078,853.48,633.775,507.298,557.217,413.336,721.868,1571.71,735.656,1960.47,540.579,1486.26,778.257,1532.77,1157.24,1515.22,640.893,1324.09,1867.56,2213.1,970.367,1473.42,1731.84,1937.16,1840.73,1181.87,1263.02,1095.59,1781.79,536.843,2038.62,488.902,2592.95,1623.01,892.297,1568.14,1826.8,1297.86,1332.38,2167.23,1669.82,6290.22,1024.56,1135.38
1166.03,1092.95,1839.82,1515.42,1066.33,514.061,710.885,1360.27,1192.92,881.354,2033.04,1634.74,2285.82,1268.54,687.281,750.819,732.854,58.0671,546.612,664.199,586.08,596.615,748.946,943.536,739.184,1037.83,905.141,429.259,659.632,474.074,502.95,455.674,321.413,664.644,1137.44,681.567,1675.44,535.962,1395.3,722.894,1737.23,1146.26,1819.39,660.582,1388.92,1743.13,1934.72,804.691,1118.92,1625.21,1908.97,1943.59,1218.47,1420.87,1248.38,2288.85,694.186,2973.45,551.441,3297,2171.07,965.643,1918.31,2045.79,1632.9,1413.21,1914.69,1408.45,5671.92,1998.82,1065.61
1486.94,1322.23,2467.46,1402.52,1007.96,543.456,750.078,860.066,1141.34,640.35,1051.36,1333.46,1551.27,791.092,694.988,344.907,1217.56,162.449,987.236,1140.33,744.628,763.653,883.461,1113.42,616.749,1017.16,748.232,402.429,663.024,549.389,590.429,535.217,447.98,904.888,1646.16,930.057,1968.06,621.617,1408.02,772.237,1938.37,1343.08,2038.9,888.645,1698.57,2594.31,2772.65,1254.54,1762.31,1751.98,1828.09,1621.02,934.7,969.647,781.716,1426.3,432.892,1842.7,347.148,2268.03,1529.82,708.399,1439.44,1448.76,1256.7,1348.43,1473.35,1376.08,5608.73,387.197,1037.03
1785.21,1390.71,2226.39,1501.79,753.384,580.313,718.062,1054.61,937.156,594.675,1458.37,1576.27,2003.5,1026.8,925.072,564.013,1985.6,231.488,887.946,887.595,628.412,538.445,715.888,953.617,645.412,1155.43,989.445,488.697,754.516,623.446,661.635,487.554,424.072,646.59,1341.58,706.658,1860.98,680.486,1677.87,1071.37,2373.12,1660.09,1958.21,844.662,1591.16,2366.73,2243.72,1213.41,1825.27,1917.69,2336.27,2833.93,1279.48,1433.14,1306.48,2065.97,618.296,1710.13,361.906,2341.52,1581.66,731.967,1679.29,1759.43,1500.14,1378.3,1311.62,1210.07,5027.92,941.106,1124.46
