rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
544.404,298.204,360.477,481.338,542.756,739.026,824.961,450.347,855.378,263.53,842.864,169.946,121.859,355.892,103.855,111.164,388.767,658.42,679.226,732.778,839.819,1230.65,489.171,305.885,574.962,178.176,514.073,485.016,336.901,273.421,549.845,1342.14,1604.23,468.763,1670.76,278.063,266.86,120.626,359.814,267.644,188.073,118.139,205.47,1160.45,490.7,285.21,409.712,512.82,815.875,685.263,303.771,252.548,186.234,202.055,99.6386,250.425,145.998,453.871,136.295,141.454,375.483,259.529,956.473,120.096,125.651,392.849,321.804,999.417
545.679,300.333,392.316,428.498,548.687,821.124,511.982,365.53,734.801,413.541,843.862,334.255,81.1034,824.834,716.95,259.107,970.47,1043.47,809.861,770.104,894.116,973.763,572.948,372.116,571.269,194.325,439.725,396.466,244.32,210.639,416.873,834.168,919.135,364.283,1543.69,321.984,360.548,206.698,601.391,331.024,280.07,162.673,188.874,1070.6,444.469,196.648,273.068,366.331,478.252,546.405,221.273,311.917,187.474,392.462,157.11,280.701,184.915,442.769,111.78,110.955,385.977,247.444,966.716,180.09,174.206,593.972,365.142,1096.13
846.562,436.955,730.086,812.402,773.96,1057.96,966.245,423.5,1043,418.687,863.769,259.078,125.674,444.24,712.879,116.195,571.689,988.409,761.79,721.824,894.932,1053.38,422.055,304.425,418.538,147.804,411.487,285.289,190.194,196.705,444.776,1241.6,1218.86,332.345,2009.23,323.493,364.671,184.2,452.281,257.974,222.653,100.226,194.563,798.155,344.957,189.214,257.015,421.89,504.415,506.731,292.221,248.989,178.633,298.278,156.859,267.442,157.324,400.744,104.195,160.741,397.658,253.717,890.838,115.175,144.558,488.9,391.405,1704.38
1085.15,545.899,766.231,719.178,466.127,888.173,634.604,394.494,613.75,327.644,682.764,300.487,168.118,577.624,820.595,534.157,752.777,851.396,654.146,460.282,579.279,837.215,374.715,300.49,589.435,200.918,465.392,454.224,247.042,209.463,456.848,952.451,877.847,279.486,1305.9,239.309,282.6,188.4,432.317,317.723,250.707,126.946,183.896,906.455,306.728,145.147,168.623,257.132,304.434,314.302,138.948,179.163,140.207,265.758,147.118,355.081,252.609,598.181,204.052,236.204,445.73,356.072,912.861,110.726,114.172,307.042,200.114,1345.1
780.614,227.338,393.628,487.059,461.799,824.111,600.588,405.37,762.127,393.761,1001.1,339.022,192.297,817.228,406.638,75.4517,534.155,562.582,523.58,516.852,627.892,868.059,406.122,279.825,509.756,179.394,466.83,349.452,257.888,212.331,456.322,917.763,933.535,334.658,1657.77,345.915,321.653,189.857,462.333,229.384,192.144,100.367,147.465,673.335,267.713,192.113,188.306,425.498,596.204,741.517,385.419,447.189,320.462,405.106,173.348,286.293,158.632,287.326,103.659,122.442,204.852,194.189,722.388,93.9599,119.68,406.154,248.333,909.309
766.198,299.335,691.477,622.398,592.282,898.039,729.725,531.56,994.945,440.768,647.757,277.714,79.2423,431.553,381.936,36.6221,394.341,565.079,514.838,462.028,569.866,963.632,499.107,317.932,613.49,205.213,685.807,433.114,317.01,220.826,362.293,920.466,1015.73,308.56,1206,254.158,280.218,145.897,424.094,287.588,200.824,113.774,175.918,878.361,368.224,255.463,261.31,445.01,772.759,642.004,340.054,392.133,302.421,440.864,172.785,275.636,177.74,421.893,103.346,122.576,211.151,172.287,618.198,85.3057,128.606,334.21,331.074,1051.47
549.303,259.925,455.697,476.192,447.301,856.023,550.606,456.751,851.922,463.585,971.536,257.203,124.013,826.846,313.614,100.489,304.993,577.325,492.425,441.877,556.832,880.853,397.139,355.283,556.719,187.571,688.008,613.145,408.631,349.829,530.938,1315.69,1471.82,431.851,2029.25,347.764,453.938,266.161,639.451,382.515,243.949,136.447,225.685,756.829,290.625,213.495,256.491,342.682,531.378,573.862,229.026,270.762,210.273,356.24,123.121,280.268,140.938,448.843,140.58,150.926,376.538,248.539,927.25,136.105,132.888,479.169,369.538,1113.65
655.899,329.894,504.109,617.303,493.264,1044.65,628.064,483.517,1122.22,675.84,1102.61,514.026,96.6786,638.714,346.402,160.451,476.361,698.3,508.771,471.372,638.703,667.215,385.869,233.164,399.099,165.427,518.72,480.692,282.419,271.212,565.01,1368.96,1940.29,606.779,2817.73,473.431,443.399,270.278,598.1,310.369,208.364,127.065,211.662,783.412,342.172,242.724,313.925,529.134,843.695,853.057,461.792,479.187,210.253,301.181,142.216,187.061,109.57,337.77,75.7692,106.528,328.007,281.171,846.118,129.249,163.457,641.675,412.644,1245.4
1031.27,310.373,748.215,750.088,716.566,942.601,1046.87,458.346,1116.38,736.728,1240.89,563.719,87.434,992.542,1055.39,242.295,662.1,1049.22,619.686,520.081,712.817,845.466,332.005,281.222,397.736,198.318,503.361,436.717,390.751,340.278,719.876,1996.14,2072.44,766.245,3123.64,509.703,531.184,238.851,586.541,338.841,240.547,79.6438,196.74,790.747,283.194,192.88,279.892,350.966,509.504,523.663,304.444,289.709,183.211,332.336,133.701,214.409,128.375,363.717,89.1668,129.288,320.531,246.551,1006.84,162.254,227.212,565.538,509.204,1398.57
713.303,321.064,454.275,803.685,529.734,1112.65,711.619,428.924,1214.62,416.015,1362.66,383.563,176.519,270.068,414.644,188.462,425.891,661.616,512.382,544.652,593.352,865.351,297.992,245.711,381.606,151.021,353.639,366.246,245.005,209.455,401.302,929.678,1146.39,438.911,1736.48,345.154,364.308,191.292,568.383,300.087,248.691,124.323,221.501,851.801,373.997,227.33,230.308,436.549,529.369,559.784,266.932,267.559,220.589,348.012,147.81,280.55,142.697,374.412,82.5751,130.277,245.687,178.285,617.579,99.4787,147.557,471.249,513.236,1313.26
