ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,q1,q2,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,f
446.785,0.83523,0.578787,318.77,241.695,0.294193,1.25636, 20.4215, 40.6557,1.0158,1.00856,20.334,2.57522,0.213315,2.93941,0.315828,4.67935,0.471348,2.055,0.05,2.055,0.05,-694.792
537.619,0.693596,0.811469,336.402,704.834,0.308525,1.55325, 26.7405, 46.5385,0.920725,1.00345,17.5282,2.62345,0.233179,2.94268,0.31553,4.7958,0.482973,2.055,0.05,2.055,0.05,-690.937
568.228,0.674956,0.647578,380.432,455.544,0.312001,1.22305, 17.7865, 43.0418,0.80299,0.991088,9.57732,2.54682,0.204258,2.92632,0.307665,4.93076,0.509924,2.055,0.05,2.055,0.05,-662.71
559.943,0.786858,0.731777,402.702,313.961,0.362984,1.4181, 23.1596, 41.1629,0.791958,0.99622,17.3142,2.58964,0.216501,3.02226,0.333101,4.74635,0.440464,2.055,0.05,2.055,0.05,-657.79
595.483,0.800913,0.687672,380.686,316.293,0.235685,1.01756, 34.1177, 45.9749,0.769358,1.01642,20.5559,2.58077,0.212896,2.97207,0.327839,4.61293,0.43035,2.055,0.05,2.055,0.05,-679.738
536.128,0.78899,1.09115,366.743,488.833,0.331685,1.55859, 16.5622, 40.2831,0.841859,1.01528,8.28985,2.67166,0.249697,2.96129,0.319914,4.75816,0.452114,2.055,0.05,2.055,0.05,-704.471
485.459,0.770754,1.0864,387.229,1138.75,0.333101,1.36753, 19.9128, 36.8895,0.770283,1.02743,13.5495,2.60571,0.226046,3.00712,0.322719,4.78127,0.452011,2.055,0.05,2.055,0.05,-706.671
550.355,0.834755,1.02224,362.803,1585.25,0.266692,1.06747, 24.9034, 43.1665,0.851933,1.01108,16.8765,2.58112,0.218441,2.95474,0.314639,4.76957,0.472673,2.055,0.05,2.055,0.05,-702.176
552.911,0.748907,1.03476,359.869,1582.15,0.305971,1.16696, 18.7468, 42.434,0.886267,1.0177,10.3732,2.43599,0.169025,3.00959,0.334903,4.70884,0.442354,2.055,0.05,2.055,0.05,-692.273
466.819,0.708672,0.823599,328.126,976.234,0.327601,1.273, 22.5396, 40.2102,0.873375,1.00802,19.097,2.51,0.212782,2.99117,0.322265,4.8243,0.466314,2.055,0.05,2.055,0.05,-677.371
503.398,0.696968,0.966949,370.248,1474.33,0.237316,1.39508, 39.2601, 40.3813,0.8249,0.999129,31.4457,2.64337,0.241333,2.95729,0.318697,4.79512,0.48828,2.055,0.05,2.055,0.05,-693.278
610.451,0.759323,1.0731,365.894,2036.14,0.325261,1.14273, 27.1357, 48.5993,0.883208,0.993577,18.3886,2.55458,0.202023,2.95616,0.312792,4.71506,0.455268,2.055,0.05,2.055,0.05,-702.182
507.947,0.807863,1.18606,376.569,1671.34,0.303551,1.48279, 14.9852, 37.9711,0.89306,0.987496,8.65456,2.55985,0.205189,3.0068,0.329063,4.67749,0.451093,2.055,0.05,2.055,0.05,-690.934
619.901,0.677504,1.02362,416.957,419.171,0.383284,1.48112, 28.0903, 45.5346,0.697608,0.998884,13.6919,2.52857,0.188956,2.98588,0.315812,4.80568,0.451498,2.055,0.05,2.055,0.05,-691.401
623.798,0.689922,1.15834,441.208,1228.02,0.339794,1.22696, 19.5697, 40.8112,0.705035,0.996727,8.78993,2.68555,0.244842,3.00074,0.320853,4.72859,0.475088,2.055,0.05,2.055,0.05,-671.684
664.7,0.667507,0.867121,364.883,989.444,0.339892,1.46184, 35.002, 53.0791,0.869591,0.996216,17.1248,2.61115,0.215753,2.99207,0.320933,4.83669,0.491635,2.055,0.05,2.055,0.05,-701.644
