rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
2151.41,1747.39,864.35,478.932,713.596,1113.06,1274.17,671.963,1545.44,1728.42,2386.17,1164.16,1358.71,1076.35,846.868,561.858,1139.52,1044.57,719.742,681.448,781.419,1221.66,905.412,1335.71,1096.49,550.506,919.878,603.17,605.556,407.573,350.753,609.932,1317.38,779.831,2039.63,902.892,2261.73,1226.64,3088.21,1651.73,2254.3,919.416,1676.43,2156.16,2450.14,1024.36,1635.27,1964.28,2180.22,2444.42,1503.18,1505.86,1231.1,2186.68,575.642,1869.62,372.067,2686.94,1625.18,836.074,1528.55,1652.77,1226.61,1160.11,971.015,1227.38,3068.14,1724.85
1525.89,1283.95,765.351,514.791,567.767,1008.34,891.865,477.33,1249.22,1260.38,1750.76,1073.06,907.262,663.267,463.879,258.314,1068.1,934.258,722.18,632.607,753.862,1092.32,672.357,1159.28,906.416,453.278,670.303,562.548,549.471,485.955,429.478,795.553,1525.92,893.155,2129.74,693.941,1664.04,874.196,1844.16,1436.45,1623.03,790.812,1758.7,2280.08,2444.5,1342.53,1780.74,1951.05,2402.45,2204.83,1446.46,1261.31,1113.23,2431.51,692.418,2293.69,462.361,2782.17,1659,943.957,1429.46,1438.38,1194.74,924.567,1121.06,1148.82,3822.59,3093.39
1514.45,986.64,744.139,440.64,561.53,836.603,945.642,503.821,1172.77,1349.13,1779.87,676.573,898.052,603.135,753.97,204.771,728.612,760.203,606.406,537.308,595.757,870.176,484.292,1087.57,731.522,402.892,607.633,518.361,551.469,355.373,353.684,628.802,1149,718.821,2049.47,770.292,1794.97,1024.5,2207.94,1769.22,2218.64,943.269,1892.66,2647.49,3067.27,1467.13,2094.31,2113.16,2782.22,2551.27,1406.84,1366.54,1023.07,1808.8,472.648,1663.43,353.574,2296.71,1626.33,905.955,1555.41,1526.15,1309.79,1182.99,1184.08,1044.09,3470.83,2162.58
1784.66,1748.06,836.165,542.288,929.013,1096.96,905.165,875.582,1193.88,1349.11,1489.44,794.523,591.642,835.709,814.192,207.533,718.186,738.288,737.586,799.878,819.198,1054.29,785.727,1242.19,1089.46,555.35,854.069,668.43,560.471,403.605,396.784,663.777,1108.42,626.515,1894.12,599.677,1601.73,814.243,2377.43,1692.56,1977.11,940.077,1752.23,2345.58,2787.6,1251.02,1662.92,1808.1,2517.33,1908.91,1263.91,1298.57,1155.27,2222.46,559.762,2252.82,433.583,2825.2,1830.22,915.696,1750.92,1587.08,1335.91,1085.72,1133.91,1488.83,2462.26,3101.24
1596.48,1264.89,476.811,448.014,420.331,943.177,920.582,642.56,1291.46,1058.18,1305.29,1151.8,766.035,972.051,1005.1,714.231,1075.93,1103.21,846.796,721.262,837.981,1028.09,659.074,1294.84,1181.85,534.28,1027.86,697.909,674.665,569.451,528.13,750.328,1430.94,683.471,1854.54,571.589,1304.45,718.677,1761.75,1224.38,1676.05,712.303,1563.53,2493.16,2497.07,1294.59,1801.34,1800.97,2244.9,1975.94,1160.16,1219.52,1083.33,2245.96,564.117,2481.86,480.662,3433.63,2000.36,972.943,2027.08,1913.75,1531.78,1439.92,1273.09,1291.16,3465.14,3374.12
1149.31,1127.48,585.233,510.815,455.926,1038.62,861.924,568.484,1367.79,978.472,1494.54,903.25,558.886,415.455,804.991,126.163,603.193,779.324,816.099,859.376,913.889,1434.06,736.568,1192.09,1091.66,400.187,888.84,592.874,636.979,465.169,355.446,666.348,1182.8,639.736,1771.13,533.693,1525.74,850.463,2043.29,1366.63,1971.11,854.738,1696.29,2599.38,2755.55,1349.09,1759.72,1816.38,1949.34,1947.22,1114.71,1098.84,958.199,1632.79,501.364,2062.78,421.781,2728.98,1932.06,1118.49,1815.65,1570.36,1428.39,1441.85,1347.34,1424.44,3627.41,2715.73
1460.12,1274.4,557.467,559.699,387.183,884.811,787.752,591.662,966.174,719.433,1271.14,595.344,491.726,357.71,1033.79,107.007,758.563,1124.42,793.755,763.462,996.926,1179.74,740.858,1194.63,956.591,413.234,753.557,490.964,454.187,428.505,305.595,640.257,1080.64,602.978,1811.76,515.903,1389.44,791.11,1584.51,1231.96,1568.29,646.599,1375.07,2215.52,2184.26,1083.42,1506.37,2020.16,2109.63,2177.57,1296.11,1206.58,1149.23,1847.91,575.537,1920.99,411.065,2813.27,1682.86,1072.87,1672.38,1727.34,1429.7,1146.31,1388.89,1283.04,3379.9,3080.53
1344.51,1015.76,728.481,430.427,386.155,1080.79,823.277,535.235,1184.76,1157.53,1539.82,715.964,516.327,286.202,947.152,88.7404,571.405,783.884,628.014,619.661,689.49,862.158,562.134,746.418,682.026,289.542,448.435,358.072,320.044,345.231,266.338,512.807,1020.73,625.131,1541.9,564.662,1259.64,731.221,1999.01,1168.6,2054.67,808.545,1751.31,2317.76,2470.23,1105.9,1478.15,1780.11,1895.43,1986.02,1140.87,1197.9,1116.89,1948.84,650.422,2404.99,486.322,3285.57,2112.54,1053.42,1771.86,1850.59,1623.74,1202.1,1427.47,1370.94,3611.28,2494.76
1665.84,1150.72,834.731,535.094,530.74,873.882,1026.37,666.442,1089.47,1359.07,1584.32,783.51,497.124,462.387,996.133,166.484,725.817,1065.96,711.949,971.984,1068.88,1364.86,726.694,1146.07,877.674,427.111,603.148,514.316,537.874,480.084,404.578,863.622,1657.81,1044,2358.28,829.38,1658.8,1036.65,2281.06,1492.9,1906.07,752.131,1540.88,2433.38,2485.5,1083.62,1467.54,1748.35,2066.84,1818.65,1054.34,1078.84,943.196,1587.18,439.772,1825.14,323.724,2098.35,1367.63,860.256,1511.15,1601.41,1641.37,1502.88,1532.57,1927.9,4590.68,2390.9
2231.8,1837.96,853.964,528.977,474.024,875.105,898.31,411.31,1080.43,1037.92,1382.83,614.301,528.784,426.919,1097.37,180.224,629.89,754.021,506.982,498.501,588.861,670.046,451.465,790.29,674.09,290.602,495.934,420.814,459.022,380.705,366.281,706.478,1547.22,980.135,2427.05,887.774,2220.2,1374.66,2789.95,1907.69,2085.21,819.224,1525.76,2337.15,2141.62,1068.77,1725.97,1906.56,2338.94,2520.17,1397.31,1440.16,1280.26,1797.2,554.302,1532.45,293.434,1900.62,1324.45,716.755,1560,1593.01,1482.69,1463.25,1374.41,1537.21,3926.95,2564.73
