region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr,,region,mp,sbt,sbo,dep,tac,hr
PRD,HS30-60_HR10,51.2848,53.8204,0.952887753,5.12848,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,33.2113,65.3232,0.508415081,2.307245257,0.069471694,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,24.6451,49.9214,0.493678062,1.591071735,0.064559354,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,42.2076,61.2247,0.689388433,4.22076,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,40.7326,56.901,0.715850337,4.07326,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,34.4404,54.9518,0.626738342,3.44404,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,26.0327,37.5334,0.693587578,2.60327,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,38.9374,53.1289,0.732885492,3.89374,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,28.5045,53.363,0.534162247,2.224892592,0.078054082,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,55.2349,69.0112,0.800375881,5.52349,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,33.6575,77.149,0.436266186,1.528793054,0.045422062,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,29.2196,73.8089,0.395881797,0.933875923,0.031960599,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,53.7594,74.914,0.717614865,5.37594,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,49.8694,49.5463,1.006521173,4.98694,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,37.2479,46.4229,0.802360473,3.72479,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,26.6419,50.8973,0.523444269,1.984326625,0.074481423,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,32.3608,56.4596,0.573167362,2.946638124,0.091055787,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,26.8882,52.9924,0.507397287,1.858846579,0.069132429,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,42.1801,53.5221,0.788087538,4.21801,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,32.8026,55.1213,0.595098447,3.226665434,0.098366149,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,40.0836,48.7183,0.822762699,4.00836,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,22.8382,46.8175,0.487813318,1.429772704,0.062604439,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,43.356,51.8161,0.836728353,4.3356,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,21.992,49.3908,0.44526511,1.0648901,0.048421703,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,28.703,51.2262,0.560318743,2.490642961,0.086772914,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,27.82,62.4235,0.445665495,1.350804686,0.048555165,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,22.6747,51.96,0.436387606,1.030849349,0.045462535,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,25.643,61.5594,0.416557016,0.996290524,0.038852339,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,46.4842,64.7238,0.718193308,4.64842,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,48.8942,51.5291,0.948865787,4.88942,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,34.5338,83.3522,0.4143118,1.315873611,0.038103933,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,67.3828,62.6423,1.075675702,6.73828,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,24.6788,66.8204,0.369330324,0.570329736,0.023110108,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,77.8045,53.7784,1.446761153,7.78045,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,45.8061,95.4111,0.480091939,2.749769789,0.060030646,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,61.2905,64.5954,0.948836914,6.12905,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,47.6614,80.8204,0.589719922,4.602819033,0.096573307,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,32.5179,52.2804,0.621990268,3.25179,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,45.7679,58.2104,0.786249536,4.57679,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,31.3007,58.9043,0.531382259,2.414142225,0.07712742,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,59.2472,46.4542,1.275389523,5.92472,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,86.7612,45.8133,1.893799399,8.67612,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,88.4733,47.0252,1.881401887,8.84733,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,73.4043,54.0444,1.358222128,7.34043,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,55.9669,79.249,0.706215851,5.59669,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,67.7008,60.0228,1.127918058,6.77008,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,33.7568,53.451,0.63154665,3.37568,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,52.7826,59.9504,0.880437829,5.27826,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,60.9562,57.709,1.05626852,6.09562,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,48.7209,57.9064,0.84137332,4.87209,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,49.4059,67.0958,0.736348624,4.94059,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,53.5749,58.4559,0.916501157,5.35749,0.1,,,,,,,,,,,,,,,,
PRD,HS30-60_HR10,18.9179,47.7884,0.395868035,0.604540633,0.031956012,,,,,,,,,,,,,,,,
