Year,Harvest,Biomass,Region
1951,0,0,A10
1952,0,0,A10
1953,0,0,A10
1954,0,0,A10
1955,0,0,A10
1956,0,0,A10
1957,0,0,A10
1958,0,0,A10
1959,0,0,A10
1960,0,0,A10
1961,0,0,A10
1962,0,0,A10
1963,0,0,A10
1964,0,0,A10
1965,0,0,A10
1966,0,0,A10
1967,0,0,A10
1968,0,0,A10
1969,0,0,A10
1970,0,0,A10
1971,0,0,A10
1972,0,0,A10
1973,0,0,A10
1974,0,0,A10
1975,0,0,A10
1976,0,0,A10
1977,0,0,A10
1978,0,0,A10
1979,0,0,A10
1980,6998.9245599999995,22.860756646969737,A10
1981,5502.07096,17.97154751313953,A10
1982,7266.54384,23.73488797695757,A10
1983,7217.555904,23.574877496214032,A10
1984,7050.180456,23.028175020340292,A10
1985,7186.7116479999995,23.474130156486623,A10
1986,11427.343256,37.325407790480156,A10
1987,13367.809831999999,43.663600722154584,A10
1988,15208.486168,49.675846378240344,A10
1989,15288.31836,49.93660419871129,A10
1990,16383.74304,53.51461633755976,A10
1991,16510.7488,53.92945832467264,A10
1992,37514.32636,122.5339519434629,A10
1993,20331.354216,66.4087942441429,A10
1994,11430.518399999999,37.33577884015797,A10
1995,26004.42936,84.93889686135938,A10
1996,22101.723792,72.19139522879117,A10
1997,21907.586416,71.55727961991865,A10
1998,17987.644352,58.7534780033851,A10
1999,22997.1144,75.11603123793685,A10
2000,21099.285472,68.91710668765033,A10
2001,21707.098751999998,70.90242191169045,A10
2002,14299.487799999999,46.70676301333254,A10
2003,21578.732216,70.4831351890014,A10
2004,22377.507728,73.09219497223626,A10
2005,22416.063048,73.2181291468955,A10
2006,13899.873248,45.40149233245242,A10
2007,12782.22256,41.75088284585919,A10
2008,7157.228168,23.37782755233542,A10
2009,0,0,A10
2010,0,0,A10
2011,0,0,A10
2012,0,0,A10
2013,0,0,A10
2014,0,0,A10
2015,0,0,A10
2016,6959.462056,22.731859315259673,A10
2017,0,0,A10
2018,4341.782624,14.181669645158419,A10
2019,2903.442392,9.483584141105204,A10
2020,3313.48956,10.822931128069602,A10
2021,5141.918912,16.795174163969474,A10
2022,0,0,A10
2023,0,0,A10
2024,0,0,A10
