rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
1789.45,224.944,167.685,549.354,503.323,1125.5,230.162,598.27,1058.03,732.533,743.869,329.351,234.24,1484.78,229.558,161.918,377.844,365.626,328.527,353.344,303.046,338.331,140.779,146.552,182.103,143.291,1235.39,404.044,395.495,163.579,198.443,515.702,299.511,420.418,1349.94,183.626,101.495,224.225,815.949,148.377,163.228,50.336,97.1236,386.122,337.378,100.523,148.458,74.0778,181.78,358.146,150.096,382.027,123.35,284.809,112.383,662.305,258.85,486.822,164.849,557.596,243.318,756.043,140.849,176.134,170.233,1066.02,450.307,665.761
980.98,148.42,172.597,379.712,534.481,737.833,176.205,418.119,988.913,627.981,700.085,337.092,257.086,1445.73,272.908,180.423,337.432,337.16,302.101,363.921,271.119,294.802,149.405,119.755,145.435,123.236,1268.28,375.835,472.149,168.945,151.304,399.251,222.267,317.927,992.729,110.72,85.6414,210.741,726.806,144.447,183.223,59.2001,146.87,436.95,535.963,131.025,200.88,82.0308,208.486,354.941,125.923,336.251,129.339,240.159,141.437,641.414,175.329,430.373,104.732,335.235,160.24,420.451,107.398,142.821,192.687,699.473,475.814,173.463
1282.01,159.756,203.714,370.935,607.447,724.117,269.974,562.086,894.617,679.492,569.479,238.912,239.721,1454.15,261.774,216.849,368.42,360.087,414.431,352.37,318.459,303.377,132.351,106.349,136.802,115.273,967.923,301.687,358.413,152.609,128.245,340.076,211.732,215.416,977.443,107.503,62.0359,188.759,661.769,135.387,170.004,52.1097,153.683,483.513,582.865,118.003,198.921,78.0003,166.663,340.728,133.955,272.548,120.088,237.024,113.213,582.157,203.141,542.679,148.471,436.131,188.156,547.409,133.484,125.384,204.358,871.405,256.342,77.5162
1352.53,182.286,291.443,423.406,372.238,936.091,243.548,666.753,1059.41,778.367,586.432,330.991,211.897,2155.81,211.318,241.679,592.087,351.014,333.755,419.435,347.678,377.585,189.919,169.124,209.742,193.244,1605.61,486.686,479.746,183.688,162.429,429.153,210.99,272.458,908.965,126.656,74.6793,237.463,770.338,139.573,175.339,59.5913,146.68,640.93,521.081,134.491,203.954,87.5309,220.547,472.81,220.111,370.746,143.753,270.854,130.984,628.893,238.63,450.128,130.625,327.028,161.622,428.565,132.561,176.558,172.1,628.95,852.554,372.374
1142.84,236.212,256.882,361.202,324.474,666.595,147.971,545.739,616.759,686.052,673.69,378.278,163.105,1549.81,165.511,194.779,395.02,329.203,331.839,380.704,373.777,326.333,167.291,144.702,191.908,205.669,1519.42,547.103,442.473,229.573,217.407,511.311,255.379,363.391,1142.86,127.245,76.8117,174.859,625.869,138.175,139.914,50.7777,110.641,466.622,473.039,125.206,234.019,76.6952,160.286,472.089,161.81,337.97,122.603,226.401,103.886,489.804,256.892,371.018,146.274,466.887,207.264,598.4,192.463,174.051,174.515,691.3,1684.3,536.618
1365.42,258.899,253.875,423.728,311.375,510.827,104.734,397.302,463.059,405.923,607.186,284.551,131.879,1477.41,156.573,151.045,327.822,367.601,319.025,364.895,288.183,349.842,195.618,126.347,177.593,136.118,1482.07,434.342,419.354,155.962,138.547,368.947,160.631,237.665,732.158,102.613,64.1804,173.459,535.683,113.956,148.278,44.9079,125.938,495.113,504.594,151.791,253.401,98.8559,286.8,542.376,192.721,379.685,153.308,236.256,129.225,511.053,155.398,379,117.669,361.994,202.969,519.316,154.012,153.895,238.113,1418.3,267.852,839.731
1102.87,245.74,205.482,488.262,403.821,573.39,124.365,516.425,549.212,365.467,493.578,205.193,120.299,1533.62,109.705,134.866,355.084,354.949,263.573,362.588,256.123,306.701,140.851,99.7121,163.625,132.236,1197.13,344.883,316.892,155.559,133.325,472.839,213.28,321.247,1009.09,128.021,86.6802,176.35,672.114,137.098,158.73,39.6893,125.503,432.379,397.612,119.763,199.03,97.4973,252.327,474.273,225.108,521.32,182.145,274.842,139.693,543.965,219.83,337.208,101.313,348.77,157.058,509.027,135.78,181.273,202.747,582.771,1658.2,221.366
968.885,215.494,200.98,330.381,378.626,698.881,149.56,372.852,964.861,420.619,599.243,333.72,82.8257,2959.28,118.232,169.343,489.992,341.375,238.384,288.647,231.448,269.354,166.697,128.694,133.011,158.305,1352.86,483.556,446.144,217.702,173.177,508.309,222.297,341.427,918.064,105.306,56.8181,161.489,527.154,109.287,141.52,47.3722,132.163,484.82,497.081,153.607,241.603,150.436,237.681,590.566,204.902,374.815,132.868,237.423,107.601,465.157,157.822,354.431,141.882,303.774,213.732,619.049,161.242,187.274,269.907,1038.1,1048.52,221.367
809.214,193.737,209.915,358.494,400.945,497.492,136.469,339.879,888.665,424.135,434.681,329.705,145.755,1570.27,112.268,156.777,268.594,246.489,270.068,276.024,224.687,268.322,150.545,142.419,137.342,115.405,1147.66,431.717,377.001,178.7,141.781,420.004,188.001,248.011,917.96,112.723,71.785,152.042,584.209,109.407,109.253,33.9357,99.2878,366.509,440.592,116.773,272.614,138.961,362.638,978.218,286.645,762.185,244.67,295.993,111.817,584.706,184.758,326.411,98.9393,378.287,251.565,623.98,188.88,179.718,263.417,408.011,970.238,183.598
1118.8,229.651,211.63,381.369,320.292,420.827,166.556,329.368,576.916,550.453,405.701,382.895,158.902,1506.95,67.8033,178.191,399.191,362.635,329.601,332.008,293.777,354.364,133.087,126.541,130.181,107.624,1004.45,300.1,273.399,167.349,125.021,348.845,179.858,288.986,977.571,141.255,86.0473,214.981,578.951,122.907,140.151,36.2311,109.454,406.98,351.391,110.001,226.115,110.377,250.418,592.46,286.594,571.719,208.966,313.667,122.011,570.883,249.182,394.753,140.218,448.368,188.701,632.853,155.024,198.515,243.064,561.16,1309.99,395.709
