N_ag1_age2_1951,N_ag1_age3_1951,N_ag1_age4_1951,N_ag1_age5_1951,N_ag1_age6_1951,N_ag1_age7_1951,N_ag1_age8_1951,N_ag1_age9_1951,N_ag1_age10_1951
463.22,563.021,494.244,119.497,13.2179,98.3665,11.303,7.17539,3.26663
551.021,629.185,564.111,133.949,30.2814,46.0574,7.4724,28.079,4.62423
340.32,579.27,787.063,175.882,31.7369,55.0742,2.45335,1.07864,11.086
284.424,475.429,545.054,67.5589,4.94704,4.63867,3.36453,31.965,4.26299
180.969,557.161,402.928,54.9376,40.0781,0.238435,2.33037,1.79689,0.296972
238.984,524.191,535.953,88.9386,26.5291,0.578663,1.95143,42.8448,3.16525
336.414,500.231,742.63,136.741,7.16615,7.06208,35.7304,13.9727,0.24739
175.861,400.391,404.99,88.8297,1.0547,1.26054,9.63117,16.411,21.4056
174.792,511.205,365.454,89.966,4.88037,9.84938,20.0256,0.168886,2.33365
273.972,717.827,561.726,161.462,22.2484,5.36461,14.4279,3.35799,3.47751
236.416,501.135,405.66,91.8714,19.5146,2.36879,9.83061,10.3493,3.21964
170.293,462.7,492.93,103.789,3.82405,36.4947,17.9716,1.71169,12.1403
284.754,607.188,501.575,134.035,4.92361,20.6681,2.62473,7.73264,13.3077
296.345,304.585,430.864,139.592,13.9981,5.80283,21.9176,0.454489,13.531
307.657,404.081,424.406,71.9132,8.83634,2.52838,2.86955,32.9173,12.3143
216.113,393.045,359.206,87.691,17.6206,0.0402177,5.85778,3.91998,16.082
181.89,377.614,514.915,38.3615,7.62129,0.789695,0.445777,16.4326,25.1923
219.098,526.571,490.99,107.578,8.81778,2.05326,0.681667,37.9914,1.16156
257.704,280.711,533.719,78.7505,1.13725,1.57534,49.2736,9.99434,3.39567
194.67,350.634,488.787,66.3586,0.262454,3.65804,10.7637,25.207,12.6656
167.593,318.647,476.586,64.588,1.15114,8.86543,2.93521,17.4058,0.314731
281.029,587.933,724.399,96.1622,2.91591,33.7578,7.87581,1.39292,1.70689
282.584,460.468,457.17,127.46,7.32203,55.9254,0.684716,5.06925,11.309
219.094,383.053,368.498,101.636,18.1978,0.375727,12.0413,26.7323,2.10684
245.185,436.262,401.774,143.86,6.98626,5.86756,29.0842,0.535777,9.09432
249.796,353.839,307.219,144.569,27.1884,9.82457,1.26923,2.69778,28.344
194.285,459.402,416.664,93.2195,10.4763,0.902726,24.3845,70.7562,7.53152
231.645,477.464,563.948,37.2644,6.94553,0.172272,50.0782,3.13203,1.97999
279.573,582.087,410.273,122.509,10.0788,15.7349,12.9636,5.31115,134.858
189.309,491.902,417.606,85.7323,15.8018,4.54319,33.948,6.21894,0.513156
235.054,444.095,407.362,59.0658,8.31917,0.685666,17.4329,3.70801,9.52695
316.62,462.927,487.854,47.812,30.6271,5.34935,13.1355,8.10593,0.350604
232.226,466.116,479.43,100.312,9.78251,37.9404,4.18328,4.25419,12.9592
184.456,418.318,335.243,137.046,2.03073,27.8937,9.28975,22.972,50.296
223.6,347.63,337.614,141.608,28.3948,3.26033,12.2308,0.446673,22.0304
209.469,458.017,405.339,76.3964,12.1018,14.1006,0.101449,10.2504,3.30966
388.805,500.825,605.299,110.045,5.20708,4.9308,18.6891,27.6596,1.25173
142.971,399.414,417.588,52.6932,0.227842,28.7246,4.24941,4.60599,2.78277
177.201,302.158,470.355,77.6367,1.22787,4.20022,11.7843,0.411289,60.5289
226.788,443.197,451.673,109.492,35.7498,5.73275,0.214435,10.4151,44.9342
195.62,418.357,437.189,48.7534,1.51673,8.72578,0.812902,5.78887,2.78822
304.571,531.73,483.204,65.0623,27.2167,33.3827,1.8158,23.8525,0.106661
202.385,441.083,427.782,175.329,16.077,3.07944,20.422,0.435906,1.06326
244.515,652.469,564.373,79.0085,5.59803,5.96428,19.8249,0.828036,19.5369
442.459,585.546,516.771,139.676,32.1195,33.4736,16.212,25.7302,14.7587
383.299,583.745,583.745,98.6947,8.99602,16.5723,55.4646,22.9881,42.2035
324.685,423.396,468.439,94.0654,15.4594,17.5093,14.4957,28.2446,8.43075
173.915,628.054,569.86,103.75,42.7683,0.942008,0.750786,18.1732,7.07278
251.451,423.984,396.03,57.6125,14.5235,24.5076,1.1118,3.01214,1.38671
215.51,381.016,461.927,120.023,4.1787,41.4046,0.187763,1.91517,6.41396
341.643,385.759,545.084,63.977,1.28403,15.8327,15.4756,5.0617,7.60179
262.24,429.766,449.969,104.635,0.63205,0.903308,50.7285,2.69122,7.34296
322.637,683.358,575.381,79.8753,0.53732,5.61676,46.6445,13.2811,6.97488
260.231,503.2,412.943,136.633,0.660992,51.1033,1.74059,1.2637,1.43084
250.888,660.239,442.99,113.969,1.97037,4.40346,0.391798,4.87583,48.0028
348.908,611.864,522.42,73.2327,0.888272,23.2389,0.182409,34.0482,0.863009
440.171,503.091,546.963,117.817,5.32091,42.7689,0.918572,5.0044,9.25169
414.839,484.843,516.313,97.1404,43.3783,6.17456,1.01391,1.36845,19.5956
250.88,488.538,490.105,81.401,34.4142,24.5436,1.21636,8.16484,1.54103
282.698,561.342,478.659,106.805,24.4247,1.39925,0.0958405,0.246035,33.1635
223.362,553.989,391.917,124.837,24.1959,6.20212,0.834604,9.28131,15.1552
226.92,573.498,418.54,62.024,9.82137,9.22935,2.60519,0.74808,13.2268
287.557,435.565,512.974,73.3642,3.42669,6.46426,4.10187,1.8981,25.4584
346.396,547.633,639.093,132.072,17.1499,22.683,6.68161,21.329,24.329
349.709,609.175,464.476,128.394,6.23641,31.9321,8.12093,4.85104,1.18645
199.331,366.713,554.296,73.4391,3.11624,1.60911,1.13238,45.0445,0.864902
191.213,458.991,456.98,99.455,44.5652,0.200446,2.17234,61.6246,23.268
209.296,402.249,518.683,154.034,66.8657,1.13366,14.9076,0.335052,1.4112
152.366,364.034,424.595,112.174,28.9047,0.410656,29.2261,3.71842,8.15411
188.031,421.514,347.11,129.007,22.0809,0.661588,15.1416,0.267565,0.774937
320.72,544.575,454.39,78.2698,1.90131,10.9156,31.6751,0.233344,0.775264
172.918,372.067,443.372,81.235,2.63424,9.0455,25.9843,1.84535,0.839996
173.131,338.379,494.487,63.5147,15.0816,10.0036,65.4402,5.24302,8.67492
304.124,475.434,513.916,130.911,6.73404,12.5961,13.845,9.83258,15.155
308.335,473.062,473.103,108.895,42.8797,0.197563,3.2251,4.78235,6.91004
212.659,508.455,447.661,72.7534,4.85275,0.16552,0.407156,2.00404,43.6713
246.456,529.783,514.977,74.668,24.2505,0.125549,1.94353,0.947338,10.2729
160.419,629.903,367.828,128.577,8.31229,0.722004,38.168,0.403515,8.25856
201.882,508.366,374.824,94.9576,15.3537,23.0028,0.26917,0.478793,0.403219
241.161,385.267,527.234,60.9288,40.2158,0.642975,0.0617807,0.729389,0.762458
154.298,356.855,427.289,97.7055,19.8481,2.26603,1.71372,17.6233,1.06409
135.709,364.959,527.116,59.7498,3.78772,1.77147,11.309,2.56601,35.3084
217.253,440.126,320.744,77.8603,7.62056,0.865451,8.2621,23.0506,14.3187
186.574,340.262,439.253,80.4379,42.5448,14.7585,4.23557,0.400343,8.9773
592.748,714.578,459.105,74.2692,2.98129,2.3685,12.5735,12.6512,23.2265
303.272,482.915,412.604,132.987,12.3496,0.942464,27.8125,1.54741,10.9399
379.084,439.106,358.885,113.46,41.2975,1.82426,11.8147,5.79159,41.2194
380.797,474.304,596.479,84.5699,12.0083,2.89031,0.494511,2.08665,4.99711
331.703,506.999,392.964,190.149,28.988,1.25739,5.75221,2.11734,1.76977
268.915,670.196,689.616,107.543,5.2845,0.948744,54.5667,8.99748,0.566137
343.253,529.636,797.441,111.381,7.62267,33.0492,26.0235,5.89892,0.80673
373.345,642.317,679.298,153.708,16.3303,22.4861,24.0362,6.23597,4.71131
408.733,528.476,603.161,92.5822,73.8328,61.9221,1.26438,0.21845,5.15424
167.445,367.295,429.036,155.872,11.0443,18.7256,5.43622,4.75144,2.00475
419.915,566.45,469.762,169.897,21.6252,54.4661,17.3353,0.90631,9.36071
246.716,679.139,438.248,119.564,39.8065,13.5325,0.276438,39.7804,4.71361
171.959,513.971,387.698,78.86,24.3716,18.5618,0.913346,1.27793,3.43147
224.224,470.769,467.532,70.0082,0.423388,12.3138,0.491377,12.7365,23.6297
191.339,407.853,405.088,101.753,22.6489,0.917293,1.5905,0.380481,16.982
198.788,431.078,415.641,80.8585,2.56177,4.61542,3.35824,1.41807,52.7233
188.682,578.596,365.231,96.2806,11.0259,1.99009,0.398692,5.86189,12.3304
279.962,559.027,482.178,91.3117,14.4079,16.7537,0.754072,25.9443,20.3811
327.174,643.471,414.088,200.951,44.1548,11.4359,0.889177,28.5404,0.66881
322.827,671.355,551.771,100.885,8.8216,34.1634,4.32293,3.02873,3.74881
254.687,458.41,476.247,147.884,2.96177,40.1572,3.26771,10.0659,12.6031
276.204,712.459,513.494,150.598,16.0515,40.1477,2.55113,0.237393,13.6169
361.965,662.224,626.298,112.896,0.91416,38.5857,18.8098,3.30015,0.902658
603.432,659.869,742.638,178.392,5.12674,34.5724,0.220502,0.506549,0.359975
299.697,754.908,471.746,137.231,1.29087,56.1148,1.06337,1.72301,4.97471
