N_ag1_age2_t1951,N_ag1_age2_t1952,N_ag1_age2_t1953,N_ag1_age2_t1954,N_ag1_age2_t1955,N_ag1_age2_t1956,N_ag1_age2_t1957,N_ag1_age2_t1958,N_ag1_age2_t1959,N_ag1_age2_t1960,N_ag1_age2_t1961,N_ag1_age2_t1962,N_ag1_age2_t1963,N_ag1_age2_t1964,N_ag1_age2_t1965,N_ag1_age2_t1966,N_ag1_age2_t1967,N_ag1_age2_t1968,N_ag1_age2_t1969,N_ag1_age2_t1970,N_ag1_age2_t1971,N_ag1_age2_t1972,N_ag1_age2_t1973,N_ag1_age2_t1974,N_ag1_age2_t1975,N_ag1_age2_t1976,N_ag1_age2_t1977,N_ag1_age2_t1978,N_ag1_age2_t1979,N_ag1_age2_t1980,N_ag1_age2_t1981,N_ag1_age2_t1982,N_ag1_age2_t1983,N_ag1_age2_t1984,N_ag1_age2_t1985,N_ag1_age2_t1986,N_ag1_age2_t1987,N_ag1_age2_t1988,N_ag1_age2_t1989,N_ag1_age2_t1990,N_ag1_age2_t1991,N_ag1_age2_t1992,N_ag1_age2_t1993,N_ag1_age2_t1994,N_ag1_age2_t1995,N_ag1_age2_t1996,N_ag1_age2_t1997,N_ag1_age2_t1998,N_ag1_age2_t1999,N_ag1_age2_t2000,N_ag1_age2_t2001,N_ag1_age2_t2002,N_ag1_age2_t2003,N_ag1_age2_t2004,N_ag1_age2_t2005,N_ag1_age2_t2006,N_ag1_age2_t2007,N_ag1_age2_t2008,N_ag1_age2_t2009,N_ag1_age2_t2010,N_ag1_age2_t2011,N_ag1_age2_t2012,N_ag1_age2_t2013,N_ag1_age2_t2014,N_ag1_age2_t2015,N_ag1_age2_t2016,N_ag1_age2_t2017,N_ag1_age2_t2018,N_ag1_age2_t2019,N_ag1_age2_t2020,N_ag1_age2_t2021
402.206,222.65,549.86,275.943,333.751,448.922,511.887,609.624,572.385,425.18,636.439,231.976,641.755,124.587,131.434,426.853,103.833,74.22,348.157,647.488,656.803,698.414,731.691,987.914,416.154,264.604,463.6,156.727,407.112,346.569,221.207,190.115,344.263,807.048,1099.81,372.476,1409.5,251.245,282.797,138.335,422.09,269.724,189.476,102.994,194.019,965.892,406.033,258.324,339.791,597.937,768.468,773.299,311.623,335.034,215.532,221.253,101.43,221.073,137.93,385.719,107.452,133.62,362.685,272.574,964.516,137.517,148.879,399.379,314.65,629.126,331.222
295.716,486.098,846.336,436.11,585.367,744.864,719.741,1075.96,714.104,535.094,1322.02,537.935,1203.31,545.133,134.998,606.616,934.293,378.632,905.474,1047.38,842.087,767.57,984.376,1093.58,587.828,386.466,526.534,207.121,436.569,467.321,239.687,198.22,346.383,866.674,917.885,345.78,1611.99,309.814,350.997,171.125,564.796,281.357,238.565,132.958,167.543,920.674,378.21,198.699,308.606,400.787,553.288,654.177,262.296,313.674,183.216,286.416,153.838,270.493,210.762,493.288,154.598,170.08,540.023,273.544,1280.82,206.746,150.214,493.3,315.856,387.774,429.604
369.621,505.128,869.303,463.652,849.381,1209.02,730.828,1341.35,1002.34,553.985,1061.17,644.842,780.854,301.907,166.346,416.237,532.27,210.569,565.929,906.702,802.688,709.865,961.193,1102.47,383.486,322.579,454.638,155.011,419.454,331.315,172.892,187.199,389.894,1014.85,1105.05,292.313,1447.77,251.472,302.88,156.126,414.817,271.892,212.167,116.003,201.626,889.811,384.294,187.604,274.78,391.949,470.265,537.968,265.828,231.696,181.496,300.836,169.464,296.683,190.367,423.744,116.316,154.584,360.152,223.169,976.555,136.434,177.988,652.573,593.616,482.623,397.324
703.905,811.852,1017.36,462.17,492.038,618.231,393.706,1002.86,512.108,426.008,695.236,309.466,730.136,347.968,203.429,410.88,681.793,393.511,802.663,864.161,712.139,492.274,699.36,932.762,319.368,290.896,520.187,186.072,444.737,468.724,289.882,308.5,654.859,1432.1,1457.45,412.918,1824.24,317.14,343.082,187.745,472.652,316.696,274.519,141.166,198.927,842.739,306.96,141.561,187.492,228.977,291.651,301.193,134.462,196.445,142.974,247.517,172.32,385.586,275.563,632.337,167.854,221.64,400.558,295.208,865.753,127.022,121.62,343.553,310.861,265.526,385.523
493.291,461.626,728.681,174.136,394.903,302.572,424.982,659.97,498.911,334.188,584.47,289.678,790.198,240.974,128.918,462.853,419.461,71.6067,459.922,566.325,488.603,392.01,637.12,809.213,353.411,229.054,495.727,141.503,361.896,271.918,184.25,153.647,395.919,779.757,718.431,317.575,1590.35,319.213,337.318,178.587,485.269,306.402,258.277,132.494,175.851,786.134,431.258,224.016,264.076,512.545,555.655,670.498,311.113,332.389,226.89,340.17,139.719,289.173,132.971,279.924,99.456,114.313,221.788,170.369,629.256,92.5914,135.132,448.452,329.458,61.0283,315.917
507.455,459.244,571.845,195.427,377.708,400.194,479.168,706.165,597.249,458.838,752.897,328.56,528.272,194.283,108.639,352.931,91.4506,54.5204,296.594,443.572,465.213,465.251,696.97,981.3,466.825,314.83,667.218,167.978,524.252,306.048,237.284,156.67,311.871,730.907,919.677,262.673,1184.29,228.998,283.406,128.093,435.989,298.418,263.506,122.502,212.188,1057.71,516.617,315.847,323.49,506.9,641.318,545.984,214.383,257.241,218.105,308.184,145.098,307.109,169.988,520.549,128.388,139.384,303.824,209.954,792.927,101.692,151.86,391.921,272.805,79.5689,321.419
508.462,492.526,868.003,307.523,476.127,474.963,480.849,839.872,488.41,365.356,590.148,354.032,630.337,291.426,140.847,687.396,140.057,66.5542,240.902,519.902,486.956,480.107,586.607,909.719,389.703,307.254,485.703,173.033,578.904,481.996,295.576,284.49,512.671,1238.9,1405,392.193,1922.72,344.839,408.069,207.592,540.665,356.331,247.15,139.376,213.021,979.914,344.984,240.508,284.576,333.147,531.805,557.271,186.324,231.833,207.201,311.553,121.056,272.949,138.918,499.034,141.529,145.609,339.552,234.222,853.583,118.36,140.295,446.227,386.272,344.949,359.401
415.507,327.934,625.568,290.638,516.737,675.04,511.629,1177.58,720.523,356.325,1043.83,492.599,826.938,406.539,65.41,763.823,176.697,120.661,467.306,615.379,533.731,552.786,659.884,694.805,419.714,221.04,437.614,182.065,486.756,431.812,253.172,205.981,488.315,1064.73,1348.36,447.429,2122.79,341.859,349.173,224.791,582.564,310.836,255.652,132.204,239.069,952.831,372.926,250.166,274.155,442.144,581.735,528.673,205.828,237.582,142.139,224.181,131.214,182.343,118.874,363.783,85.6092,113.276,310.906,269.229,1005.89,149.309,217.677,668.572,593.136,256.441,365.722
555.331,368.685,937.143,260.691,660.555,602.534,575.255,1013.79,765.769,318.338,773.942,445.122,808.496,317.592,100.961,443.801,1048.44,230.824,772.606,996.745,618.301,537.887,731.368,1050.57,478.554,384.882,666.535,324.515,757.411,603.813,511.956,354.529,604.29,1540.56,1526.92,472.39,2202.79,328.766,375.705,193.103,459.789,309.513,212.925,80.1983,172.234,787.809,264.553,174.278,244.158,347.674,423.374,523.266,233.532,237.066,177.748,280.636,162.432,325.978,165.339,424.54,108.935,177.102,440.781,302.057,1000.76,218.834,213.141,525.159,463.359,670.622,418.151
541.457,245.109,632.622,257.295,305.49,376.988,281.712,677.191,436.806,256.106,698.538,155.567,570.618,209.786,83.6853,258.765,274.884,117.652,311.314,491.096,539.282,522.336,571.455,853.281,337.091,258.033,398.833,143.189,312.798,308.065,146.385,115.475,175.936,334.499,535.991,266.04,926.782,228.833,291.443,173.501,601.963,337.533,265.533,134.557,185.563,930.463,319.261,197.572,222.106,388.056,521.057,569.104,269.121,282.736,202.664,302.922,209.632,333.097,167.946,457.97,106.898,136.033,224.417,181.668,539.848,78.2213,107.714,233.076,361.698,303.513,290.195
