rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
937.891,148.518,138.748,273.841,316.968,437.972,98.6923,332.069,510.454,364.772,481.949,289.226,97.8827,962.123,343.82,167.57,390.575,284.297,276.89,315.996,266.914,267.403,122.45,106.221,133.598,119.079,1078.83,340.516,326.946,146.076,148.634,375.98,189.651,228.862,849.19,112.33,54.9411,167.877,579.172,121.061,149.056,44.0122,121.182,460.084,444.498,141.099,223.331,84.8773,226.754,491.528,145.196,504.334,133.484,227.142,94.491,514.355,221.599,386.603,135.219,447.102,158.215,486.889,164.082,164.018,244.003,1423.87,85.8493,382.156
1104.85,150.067,135.549,397.554,390.267,553.682,138.249,388.598,649.843,608.196,514.986,276.364,196.329,1271.62,279.153,174.366,383.076,282.364,294.589,305.037,241.854,260.368,124.853,99.1943,122.537,110.63,1141.16,367.323,416.613,139.296,117.456,357.667,155.863,214.015,748.857,91.1846,64.9314,155.841,626.546,118.566,177.69,51.394,157.775,498.211,551.28,129.512,200.66,93.2747,226.6,404.273,129.799,390.789,126.637,255.284,146.075,687.9,225.783,506.887,121.299,319.235,115.893,311.289,103.374,137.912,194.491,901.419,130.478,614.329
1516.55,206.449,239.691,360.09,460.83,487.42,152.079,431.51,637.618,454.722,506.15,245.425,211.948,1243.42,116.114,113.456,322.32,246.129,308.147,273.034,311.181,286.929,135.857,108.368,116.127,114.862,1059.84,300.357,326.767,126.28,109.619,260.064,161.535,190.526,799.933,92.9687,60.2793,200.007,673.809,140.867,217.577,49.3611,147.023,538.138,591.091,132.85,220.694,97.9911,172.271,408.285,155.882,326.688,121.513,239.988,107.455,517.593,171.767,464.071,136.625,371.88,140.661,355.596,95.0113,113.158,176.971,864.058,96.8348,581.659
1215.5,225.403,260.426,383.969,328.376,592.595,132.421,427.34,540.788,467.864,306.306,155.815,116.473,1230.56,75.5421,83.9521,404.81,285.977,339.737,388.222,357.956,358.461,161.047,124.993,147.548,142.229,1289.79,420.982,469.607,170.504,181.679,524.808,248.744,305.431,973.551,98.6293,56.1317,185.87,541.372,108.793,159.255,41.9818,110.648,504.628,431.8,127.213,189.841,81.9097,178.759,394.099,167.748,321.454,137.388,239.68,121.067,683.555,257.614,458.368,133.225,375.909,155.008,364.998,161.328,181.705,249.101,1068.31,112.794,889.687
1429.44,275.244,230.467,395.44,287.49,447.565,121.731,349.667,414.046,494.598,423.532,214.57,133.927,1061.67,111.089,146.317,492.686,448.429,323.567,438.625,361.686,349.108,152.919,147.307,187.454,185.496,1378.99,527.786,462.79,213.515,192.718,582.612,265.257,344.344,1127.37,133.369,80.2017,197.462,648.492,128.744,145.27,47.07,114.28,477.079,444.67,119.247,203.286,72.1206,137.912,362.474,126.143,293.248,106.429,160.352,91.6101,543.049,249.562,448.14,156.064,489.285,198.517,492.087,191.841,200.28,242.564,1134.41,124.246,595.693
1583.44,261.026,272.372,439.479,330.84,561.033,104.048,420.924,511,459.885,668.462,295.107,145.787,1288.25,229.794,186.41,370.9,392.688,394.195,409.307,317.086,366.534,190.192,120.993,173.043,175.52,1437.63,466.16,459.828,164.224,162.102,482.394,233.078,291.521,1004.41,140.825,71.7904,191.945,599.566,125.283,156.492,39.4695,108.203,423.883,444.815,131.639,212.887,90.5136,243.431,482.804,185.539,454.89,176.144,283.319,146.53,717.308,222.186,516.997,148.494,356.477,142.46,432.032,136.842,144.632,210.483,1114.08,107.244,507.447
1338.77,206.311,147.474,485.171,346.6,535.264,141.308,442.905,622.714,472.083,604.487,197.37,121.269,1849.76,88.7141,148.331,399.793,395.452,287.309,400.541,307.586,334.431,135.944,139.388,166.798,145.833,1369.67,339.111,332.713,139.692,136.33,401.872,197.749,288.65,1049.61,117.131,91.542,181.866,731.283,161.472,185.018,46.1892,120.264,467.671,455.157,125.409,238.855,98.758,293.916,600.134,211.486,487.383,164.005,279.256,119.43,520.693,209.732,377.523,101.719,318.658,132.291,409.667,150.857,182.258,226.199,933.265,81.7789,586.791
854.212,185.977,156.984,307.261,338.089,561.044,173.149,311.831,788.33,570.621,467.046,354.761,102.908,2023.47,104.408,195.092,436.232,369.498,310.985,323.286,252.924,295.384,154.48,106.568,124.959,132.506,958.924,356.631,327.917,140.842,138.197,389.129,183.55,239.537,784.606,112.935,61.0761,216.596,537.761,145.862,178.502,58.1952,123.297,510.757,532.7,139.043,245.744,126.757,253.808,444.092,137.645,338.767,100.097,202.47,105.967,522.662,176.146,385.485,143.272,336.06,162.698,533.887,177.453,182.238,246.539,1125.83,110.311,610.383
972.99,207.322,217.041,345.799,407.61,421.275,120.083,362.778,673.091,440.241,469.93,278.044,96.8544,2077.89,168.218,204.529,329.488,294.823,307.329,278.767,226.397,250.306,145.384,141.665,130.929,143.449,1113.39,417.184,401.431,166.096,156.856,416.688,200.277,286.114,1037.08,130.605,86.7074,173.309,691.85,131.185,133.532,45.0982,122.092,338.203,435.063,104.954,225.413,101.179,242.449,582.568,234.462,585.938,234.512,368.242,141.975,700.975,213.103,407.55,140.249,420.227,205.465,488.658,129.344,150.999,246.913,911.822,84.8665,304.992
1955.96,291.55,262.656,479.279,346.23,651.245,194.013,512.215,950.596,597.36,619,437.429,259.417,1404.14,231.773,158.921,317.968,284.589,254.991,272.623,223.084,275.581,151.393,131.63,253.612,200.755,1572.19,526.616,510.334,242.602,178.812,502.023,225.457,359.209,1242.54,146.285,99.9902,253.684,729.862,153.13,195.464,52.816,142.891,493.634,425.005,127.066,222.525,99.2672,227.503,469.51,209.873,407.268,154.499,285.547,130.927,642.572,232.221,431.934,114.718,332.243,117.942,367.905,117.042,180.854,277.471,998.456,108.689,304.82
